,query,ExclamationMark,QuestionMark,countWords,countChars,how,when,where,what,whose,which,why,who,count am-is-are,count stop words,PERSON,ORG,GPE,DATE,count music common,count weather common,VRB,ADJ,NON,output
1683,play some house music,0,0,4,21,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,1,0,2,PlayMusic
1684,play some music from 1995,0,0,5,25,0,0,0,0,0,0,0,0,0,2,0,0,0,1,2,0,1,0,1,PlayMusic
1685,play the top-20 music by merz,0,0,6,29,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,1,1,2,PlayMusic
1686,what is the forecast for temperate weather in bellechester,0,0,9,58,0,0,0,1,0,0,0,0,1,5,0,0,1,0,0,2,1,0,4,GetWeather
1687,play a symphonic rock on pandora,0,0,6,32,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,1,1,2,PlayMusic
1688,what will the weather be nineteen seconds from now from the little manatee river state park,0,0,16,91,0,0,0,1,0,0,0,0,0,8,0,0,0,1,0,3,1,3,6,GetWeather
1689,play socialism is good by terje bakken on spotify,0,0,9,49,0,0,0,0,0,0,0,0,1,3,1,0,1,0,2,0,2,1,4,PlayMusic
1690,what is the weather in åland 4 seconds from now,0,0,10,47,0,0,0,1,0,0,0,0,1,6,0,0,0,0,0,1,1,1,3,GetWeather
1691,play newest robert palmer sound track,0,0,6,37,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,1,5,PlayMusic
1692,do you know if it will be chilly today in puerto rico,0,0,12,53,0,0,0,0,0,0,0,0,0,7,0,0,1,1,0,1,3,1,3,GetWeather
1693,what is the twenty one o clock forecast for the current spot,0,0,12,60,0,0,0,1,0,0,0,0,1,6,0,0,0,0,0,3,1,1,5,GetWeather
1694,is it hot in zephyrhills,0,0,5,24,0,0,0,0,0,0,0,0,1,3,0,0,1,0,0,1,1,1,1,GetWeather
1695,play some krzysztof penderecki on last fm,0,0,7,41,0,0,0,0,0,0,0,0,0,2,1,0,0,0,2,0,2,1,2,PlayMusic
1696,tell me the weather forecast for my current place at 15 o clock,0,0,13,63,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,4,1,1,5,GetWeather
1697,play my hype playlist on youtube,0,0,6,32,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,1,1,2,PlayMusic
1698,play any chant from 1973,0,0,5,24,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,1,0,1,PlayMusic
1699,can you play something from the fourties preferably a symphony,0,0,10,62,0,0,0,0,0,0,0,0,0,5,0,1,0,0,1,0,1,1,3,PlayMusic
1700,let me know how the weather will be in rainelle at night,0,0,12,56,1,0,0,0,0,0,0,0,0,7,0,0,1,0,0,1,3,0,3,GetWeather
1701,what is the forecast for this current position for chilly temps,0,0,11,63,0,0,0,1,0,0,0,0,1,6,0,0,0,0,0,3,1,2,3,GetWeather
1702,play me a song by stephen jones,0,0,7,31,0,0,0,0,0,0,0,0,0,3,1,0,0,0,2,0,1,0,3,PlayMusic
1703,will it get cloudy in cliffwood beach,0,0,7,37,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,1,2,0,2,GetWeather
1704,play the latest songs by larry gatlin on iheart,0,0,9,47,0,0,0,0,0,0,0,0,0,3,1,1,0,0,2,0,1,2,3,PlayMusic
1705,play some theme songs from the fourties,0,0,7,39,0,0,0,0,0,0,0,0,0,3,1,0,0,0,2,0,1,1,2,PlayMusic
1706,play the wizard and i on zvooq,0,0,7,30,0,0,0,0,0,0,0,0,0,4,1,0,0,0,2,0,1,0,3,PlayMusic
1707,play the best music by arthur johnston,0,0,7,38,0,0,0,0,0,0,0,0,0,2,1,0,0,0,2,0,1,1,3,PlayMusic
1708,play a sixties song by george sanger,0,0,7,36,0,0,0,0,0,0,0,0,0,2,1,0,0,0,2,0,1,0,4,PlayMusic
1709,open zvooq and play the best songs from device,0,0,9,46,0,0,0,0,0,0,0,0,0,3,1,0,0,0,3,0,1,2,3,PlayMusic
1710,is it going to be foggy at two am in barberville,0,0,11,48,0,0,0,0,0,0,0,0,2,7,0,0,1,0,0,1,5,0,1,GetWeather
1711,tell me the forecast for rogers city ms,0,0,8,39,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,1,0,4,GetWeather
1712,play addicted to you by hank ballard,0,0,7,36,0,0,0,0,0,0,0,0,0,3,1,0,0,0,1,0,2,0,2,PlayMusic
1713,play my trabajo relax playlist,0,0,5,30,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,1,0,3,PlayMusic
1714,play top rosanne cash,0,0,4,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,3,PlayMusic
1715,play something off my new boots playlist,0,0,7,40,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,2,1,2,PlayMusic
1716,tell me the forecast for sweden,0,0,6,31,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,2,1,0,2,GetWeather
1717,can you play some synthpop music on youtube,0,0,8,43,0,0,0,0,0,0,0,0,0,4,0,0,1,0,3,0,1,1,2,PlayMusic
1718,i want to hear jimmy james from the thirties play a song on groove shark,0,0,15,72,0,0,0,0,0,0,0,0,0,6,1,0,0,0,6,0,3,1,6,PlayMusic
1719,play safe rock and roll sucks on lastfm,0,0,8,39,0,0,0,0,0,0,0,0,0,2,1,1,0,0,2,0,0,1,5,PlayMusic
1720,will it be colder 1 minute from now in jersey,0,0,10,45,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,2,2,1,2,GetWeather
1721,is it going to be freezing in mahwah missouri on december the fifth 2025,0,0,14,72,0,0,0,0,0,0,0,0,1,7,1,0,0,2,0,2,5,0,3,GetWeather
1722,what is the forecast for de on 9/11/2035,0,0,8,40,0,0,0,1,0,0,0,0,1,5,0,0,0,1,0,1,1,0,2,GetWeather
1723,what will the weather be in one minute in tanzania,0,0,10,50,0,0,0,1,0,0,0,0,0,6,0,0,1,0,0,2,1,0,3,GetWeather
1724,what is the weather forecast for boden,0,0,7,38,0,0,0,1,0,0,0,0,1,4,0,0,1,0,0,2,1,0,3,GetWeather
1725,use itunes to play music,0,0,5,24,0,0,0,0,0,0,0,0,0,1,1,0,0,0,4,0,1,0,3,PlayMusic
1726,play 1958 music,0,0,3,15,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,2,PlayMusic
1727,show the forecast for moonlight beach at 10/4/2021,0,0,8,50,1,0,0,0,0,0,0,0,0,3,1,0,0,1,0,1,1,1,2,GetWeather
1728,i want to hear a sandra ep,0,0,7,26,0,0,0,0,0,0,0,0,0,3,1,0,0,0,2,0,2,0,3,PlayMusic
1729,what s the weather going to be like in a week at big walnut creek nature preserve,0,0,17,81,0,0,0,1,0,0,0,0,1,8,0,0,1,1,0,3,3,2,5,GetWeather
1730,play me a song by avispa music from 1965,0,0,9,40,0,0,0,0,0,0,0,0,0,4,0,0,0,1,3,0,1,1,2,PlayMusic
1731,how much hotter will it be once close to namibia,0,0,10,48,1,0,0,0,0,0,0,0,0,6,0,0,1,0,0,1,2,3,1,GetWeather
1732,play a jack lawrence concerto,0,0,5,29,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,3,PlayMusic
1733,will it be colder in oswego 16 weeks from now,0,0,10,45,0,0,0,0,0,0,0,0,0,6,0,0,1,1,0,2,2,2,1,GetWeather
1734,play music from paul landers,0,0,5,28,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,4,PlayMusic
1735,is it going to be freezing at tea time in michigantown ks,0,0,12,57,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,2,4,2,2,GetWeather
1736,play a track by alpha blondy with deezer,0,0,8,40,0,0,0,0,0,0,0,0,0,3,1,1,0,0,3,0,1,1,3,PlayMusic
1737,check the weather forecast for sappho,0,0,6,37,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,2,1,0,3,GetWeather
1738,will it be warmer at sunrise in jeffrey city,0,0,9,44,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,2,1,2,GetWeather
1739,hows the weather looking for kendall green maryland,0,0,8,51,1,0,0,0,0,0,0,0,0,2,0,0,2,0,0,1,2,1,3,GetWeather
1740,play a song from 2003,0,0,5,21,0,0,0,0,0,0,0,0,0,2,0,0,0,1,2,0,1,0,1,PlayMusic
1741,what is the weather in nd the city of evangeline,0,0,10,48,0,0,0,1,0,0,0,0,1,6,0,0,1,0,0,1,1,0,3,GetWeather
1742,in ut at 7 pm will it be snowy,0,0,9,30,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,2,0,2,GetWeather
1743,play on spotify ms scandalous,0,0,5,29,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,0,1,3,PlayMusic
1744,will there be snowfall this month in ut,0,0,8,39,0,0,0,0,0,0,0,0,0,5,0,1,0,1,0,0,1,2,2,GetWeather
1745,tell me the weather forecast for carmichaels gambia at one am,0,0,11,61,0,0,0,0,0,0,0,0,1,5,1,0,0,0,0,4,3,0,3,GetWeather
1746,tell me if it will be hot on jun the 10th in san de fuca sweden,0,0,16,63,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,2,2,1,3,GetWeather
1747,is there rain in afghanistan,0,0,5,28,0,0,0,0,0,0,0,0,1,3,0,0,1,0,0,0,1,0,2,GetWeather
1748,play music by artist mark ashley,0,0,6,32,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,1,4,PlayMusic
1749,play a seventies soundtrack by steve walsh on groove shark,0,0,10,58,0,0,0,0,0,0,0,0,0,3,1,0,0,0,3,0,1,1,5,PlayMusic
1750,play soheila zaland,0,0,3,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,PlayMusic
1751,what s the weather going to be like not far from east timor,0,0,13,59,0,0,0,1,0,0,0,0,1,7,0,0,1,0,0,3,3,3,2,GetWeather
1752,weather for burr,0,0,3,16,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,GetWeather
1753,what is the forecast at four am in zambia,0,0,9,41,0,0,0,1,0,0,0,0,2,6,0,0,1,0,0,1,2,0,2,GetWeather
1754,what is the weather forecast for midnight in dc,0,0,9,47,0,0,0,1,0,0,0,0,1,5,0,0,1,0,0,2,1,0,4,GetWeather
1755,will the weather be warm in the nationaal park band-e amir at twelve am,0,0,14,71,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,3,3,2,4,GetWeather
1756,play some drum & bass,0,0,5,21,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,2,PlayMusic
1757,play music from the track she came in through the bathroom window,0,0,12,65,0,0,0,0,0,0,0,0,0,6,0,0,0,0,3,0,1,0,5,PlayMusic
1758,play new music from liang wern fook,0,0,7,35,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,1,3,2,PlayMusic
1759,play greatest chant music from beni arashiro,0,0,7,44,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,2,4,PlayMusic
1760,will there be snowfall this month in ut,0,0,8,39,0,0,0,0,0,0,0,0,0,5,0,1,0,1,0,0,1,2,2,GetWeather
1761,can you play the newest record from 1966 by tony lee,0,0,11,52,0,0,0,0,0,0,0,0,0,5,1,0,0,1,1,0,1,2,2,PlayMusic
1762,will it get warmer in czechia,0,0,6,29,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,1,1,1,1,GetWeather
1763,what s the weather forecast for 3 hours from now at christmas island,0,0,13,68,0,0,0,1,0,0,0,0,1,7,0,0,0,0,0,2,2,1,4,GetWeather
1764,play a popular sound track by joe pass on itunes,0,0,10,48,0,0,0,0,0,0,0,0,0,3,1,0,0,0,3,0,1,1,5,PlayMusic
1765,play the top 1991 sound track,0,0,6,29,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3,0,1,1,2,PlayMusic
1766,please play some fourties music on spotify,0,0,7,42,0,0,0,0,0,0,0,0,0,2,0,0,1,0,3,0,2,0,3,PlayMusic
1767,play industrial music,0,0,3,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,1,PlayMusic
1768,will it hail in 1 minute in toms river,0,0,9,38,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,1,0,3,GetWeather
1769,show me weather forecast in clontarf ky from 4 hours from now,0,0,12,61,1,0,0,0,0,0,0,0,0,5,0,1,0,0,0,2,1,3,3,GetWeather
1770,what does it feel like in alloway,0,0,7,33,0,0,0,1,0,0,0,0,0,4,0,0,1,0,0,1,2,0,1,GetWeather
1771,what will the weather be in peru,0,0,7,32,0,0,0,1,0,0,0,0,0,5,0,0,1,0,0,1,1,0,2,GetWeather
1772,is it hot in round hill hi,0,0,7,26,0,0,0,0,0,0,0,0,1,3,1,0,0,0,0,1,1,1,3,GetWeather
1773,play a song by alasdair roberts from 1996,0,0,8,41,0,0,0,0,0,0,0,0,0,3,1,0,0,1,2,0,1,0,3,PlayMusic
1774,what is the weather like in the city of frewen in the country of venezuela,0,0,15,74,0,0,0,1,0,0,0,0,1,9,0,0,2,0,0,2,1,0,5,GetWeather
1775,play a seventies ballad by annunzio paolo mantovani on groove shark,0,0,11,67,0,0,0,0,0,0,0,0,0,3,0,1,0,0,3,0,2,1,5,PlayMusic
1776,open vimeo and paly every song released in 1986,0,0,9,47,0,0,0,0,0,0,0,0,0,2,0,0,1,1,1,0,1,1,3,PlayMusic
1777,will a blizzard hit torrey pines state natural reserve on jun sixteenth,0,0,12,71,0,0,0,0,0,0,0,0,0,3,0,2,0,1,0,1,0,2,7,GetWeather
1778,what is the weather forecast for friona,0,0,7,39,0,0,0,1,0,0,0,0,1,4,0,0,1,0,0,2,1,0,3,GetWeather
1779,is it hot in gold beach bahrain,0,0,7,31,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,1,1,2,2,GetWeather
1780,will you play me the most popular sound track from 2006,0,0,11,55,0,0,0,0,0,0,0,0,0,6,0,0,0,1,2,0,1,2,2,PlayMusic
1781,what s the weather like in kaltag,0,0,7,33,0,0,0,1,0,0,0,0,1,4,0,0,1,0,0,2,1,0,2,GetWeather
1782,is it hot in bolivia,0,0,5,20,0,0,0,0,0,0,0,0,1,3,0,0,1,0,0,1,1,1,1,GetWeather
1783,i want to hear the live at slane castle album by haifa wehbe,0,0,13,60,0,0,0,0,0,0,0,0,0,5,0,1,1,0,3,0,2,2,5,PlayMusic
1784,listen to ballad songs from 1999,0,0,6,32,0,0,0,0,0,0,0,0,0,2,0,0,0,1,2,0,1,0,2,PlayMusic
1785,what s the weather in mayotte,0,0,6,29,0,0,0,1,0,0,0,0,1,4,0,1,0,0,0,1,1,0,2,GetWeather
1786,tell me the weather forecast for september 21 2030 in palau,0,0,11,59,0,0,0,0,0,0,0,0,0,4,0,0,1,1,0,3,1,0,3,GetWeather
1787,how temperate will it be here this week,0,0,8,39,1,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,1,1,2,GetWeather
1788,will it get foggy in spring hill,0,0,7,32,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,1,2,0,2,GetWeather
1789,weather within the same area as qatar at four,0,0,9,45,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,2,0,1,3,GetWeather
1790,play some sixties on netflix,0,0,5,28,0,0,0,0,0,0,0,0,0,2,0,0,1,1,2,0,1,0,2,PlayMusic
1791,play me a fifties song by chingy,0,0,7,32,0,0,0,0,0,0,0,0,0,3,0,1,0,0,2,0,1,0,3,PlayMusic
1792,play any song from 2006,0,0,5,23,0,0,0,0,0,0,0,0,0,2,0,0,0,1,2,0,1,0,1,PlayMusic
1793,please play kabhi jo baadal barse by ruth lorenzo,0,0,9,49,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,2,0,5,PlayMusic
1794,play music from alison sudol,0,0,5,28,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,4,PlayMusic
1795,play some nineties eliza carthy,0,0,5,31,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,0,2,PlayMusic
1796,can you play crossover,0,0,4,22,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,2,0,0,PlayMusic
1797,please play a song by everlast,0,0,6,30,0,0,0,0,0,0,0,0,0,2,0,1,0,0,2,0,2,0,2,PlayMusic
1798,how much hotter will it be here tomorrow,0,0,8,40,1,0,0,0,0,0,0,0,0,5,0,0,0,1,0,1,1,2,2,GetWeather
1799,play some thirties music on netflix,0,0,6,35,0,0,0,0,0,0,0,0,0,2,0,0,1,0,3,0,1,0,3,PlayMusic
1800,open the canciones del recuerdo playlist and play songs,0,0,9,55,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,1,1,4,PlayMusic
1801,what is the forecast for close to texas,0,0,8,39,0,0,0,1,0,0,0,0,1,5,0,0,1,0,0,1,2,1,1,GetWeather
1802,play midnight special,0,0,3,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,PlayMusic
1803,play fourties chant music on last fm,0,0,7,36,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,1,1,4,PlayMusic
1804,play music from 1969 on lastfm,0,0,6,30,0,0,0,0,0,0,0,0,0,2,1,0,0,1,3,0,0,0,3,PlayMusic
1805,play some chant music by kevin jonas on deezer,0,0,9,46,0,0,0,0,0,0,0,0,0,3,1,1,0,0,3,0,1,1,4,PlayMusic
1806,how much wind will there be in nm on november 11th,0,0,11,50,1,0,0,0,0,0,0,0,0,6,0,0,1,1,0,0,1,3,1,GetWeather
1807,whats the weather forecast in nicaragua,0,0,6,39,0,0,0,1,0,0,0,0,0,2,0,0,1,0,0,2,0,1,3,GetWeather
1808,play music from 2012 on google music,0,0,7,36,0,0,0,0,0,0,0,0,0,2,0,0,0,1,4,0,0,0,4,PlayMusic
1809,will it be warm at tembe elephant park on san jacinto day,0,0,12,57,0,0,0,0,0,0,0,0,0,5,1,0,0,1,0,2,2,1,5,GetWeather
1810,can you play the newest record from 1966 by tony lee,0,0,11,52,0,0,0,0,0,0,0,0,0,5,1,0,0,1,1,0,1,2,2,PlayMusic
1811,is it cold in brian head,0,0,6,24,0,0,0,0,0,0,0,0,1,3,1,0,0,0,0,1,1,2,1,GetWeather
1812,play some katiejane garside on vimeo,0,0,6,36,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,1,0,3,PlayMusic
1813,use groove shark to play the today and tomorrow album,0,0,10,53,0,0,0,0,0,0,0,0,0,3,0,0,0,2,5,0,1,0,6,PlayMusic
1814,what is the weather forecast for minnesota,0,0,7,42,0,0,0,1,0,0,0,0,1,4,0,0,1,0,0,2,1,0,3,GetWeather
1815,what is the baotianman national nature reserve forecast,0,0,8,55,0,0,0,1,0,0,0,0,1,3,0,1,0,0,0,2,1,2,3,GetWeather
1816,is it overcast close-by in illinois,0,0,6,35,0,0,0,0,0,0,0,0,1,3,0,0,1,0,0,0,1,2,1,GetWeather
1817,play some music from 1962 from adeyto,0,0,7,37,0,0,0,0,0,0,0,0,0,3,0,1,0,1,2,0,1,0,2,PlayMusic
1818,play the top song by jack grisham,0,0,7,33,0,0,0,0,0,0,0,0,0,2,1,0,0,0,3,0,1,0,4,PlayMusic
1819,tell me the weather forecast for northern mariana islands one second from now,0,0,13,77,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,4,2,2,4,GetWeather
1820,will there be a snowstorm in slick or four hours from now,0,0,12,57,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,1,2,3,GetWeather
1821,play something by brian chase,0,0,5,29,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,3,PlayMusic
1822,will it be colder at midnight in washington,0,0,8,43,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,1,2,0,2,GetWeather
1823,play some twenties chant music on slacker,0,0,7,41,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,2,0,3,PlayMusic
1824,play lukasz gottwald album on zvooq,0,0,6,35,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3,0,0,0,5,PlayMusic
1825,in wynnedale ak will it blizzard,0,0,6,32,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,1,1,1,GetWeather
1826,what is the weather forecast for djibouti,0,0,7,41,0,0,0,1,0,0,0,0,1,4,0,0,1,0,0,2,1,0,3,GetWeather
1827,use deezer to play music by kimberley walsh,0,0,8,43,0,0,0,0,0,0,0,0,0,2,1,0,0,0,4,0,1,0,5,PlayMusic
1828,play crossroad blues,0,0,3,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,PlayMusic
1829,play the best songs of 2016,0,0,6,27,0,0,0,0,0,0,0,0,0,2,0,0,0,1,2,0,1,1,1,PlayMusic
1830,i want to listen to merrily we roll along by marko desantis,0,0,12,59,0,0,0,0,0,0,0,0,0,5,0,1,0,0,2,0,3,2,3,PlayMusic
1831,what is the weather like in phnom sankos wildlife sanctuary,0,0,10,59,0,0,0,1,0,0,0,0,1,4,0,0,1,0,0,2,1,0,5,GetWeather
1832,play music by helen ward,0,0,5,24,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,0,1,3,PlayMusic
1833,play music on iheart,0,0,4,20,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,3,PlayMusic
1834,is it forecast to be stormy close to nimule-nationalpark 1 hour from now,0,0,13,72,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,2,3,3,2,GetWeather
1835,what s the weather forecast for walsenburg vermont for july 13th,0,0,11,64,0,0,0,1,0,0,0,0,1,5,0,0,0,1,0,2,1,1,4,GetWeather
1836,will it be foggy now close to jolley,0,0,8,36,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,2,2,1,GetWeather
1837,what is the forecast this evening for the calipuy national reservation,0,0,11,70,0,0,0,1,0,0,0,0,1,6,0,1,0,0,0,2,1,2,3,GetWeather
1838,is it cold in north carolina,0,0,6,28,0,0,0,0,0,0,0,0,1,3,0,0,1,0,0,1,1,2,1,GetWeather
1839,forecast for wisconsin at 10 pm,0,0,6,31,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,3,GetWeather
1840,what is it like on 7/10/2023 in the current place,0,0,10,49,0,0,0,1,0,0,0,0,1,6,0,0,0,1,0,2,1,1,1,GetWeather
1841,open lastfm and play a voluntad del cielo from wax,0,0,10,50,0,0,0,0,0,0,0,0,0,3,1,0,0,0,2,0,1,1,5,PlayMusic
1842,i want to hear a good album from toni cottura,0,0,10,45,0,0,0,0,0,0,0,0,0,4,1,0,0,0,3,0,2,1,4,PlayMusic
1843,is it cold in the current location more than it was in 3 years,0,0,14,62,0,0,0,0,0,0,0,0,1,9,0,0,0,1,0,2,2,3,2,GetWeather
1844,give me a weather forecast for ca,0,0,7,33,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,1,0,2,GetWeather
1845,play bald by kaskade,0,0,4,20,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,3,PlayMusic
1846,play ciribiribin by sandeep khare,0,0,5,33,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,4,PlayMusic
1847,play chance of a lifetime on zvooq,0,0,7,34,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,4,PlayMusic
1848,can you play some andrew cash music on slacker,0,0,9,46,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,0,1,1,3,PlayMusic
1849,play soem nineties charles thompson,0,0,5,35,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1,0,4,PlayMusic
1850,will there be hail in kaffir,0,0,6,28,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,1,1,2,GetWeather
1851,what are the weather conditions going to be like in manhasset vermont on dec the 6th 2036,0,0,17,89,0,0,0,1,0,0,0,0,1,8,0,0,0,1,0,3,3,0,5,GetWeather
1852,play in your eyes by gareth gates on netflix,0,0,9,44,0,0,0,0,0,0,0,0,0,4,0,1,0,0,2,0,0,0,5,PlayMusic
1853,is there rain in nauru at 6 am,0,0,8,30,0,0,0,0,0,0,0,0,2,5,0,0,1,0,0,0,2,0,2,GetWeather
1854,play songs by cheryl wheeler,0,0,5,28,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,4,PlayMusic
1855,what will the weather be like in the falkland islands starting may 25 2022,0,0,14,74,0,0,0,1,0,0,0,0,0,6,0,0,1,1,0,2,3,0,2,GetWeather
1856,play breed the killers on itunes,0,0,6,32,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,1,0,3,PlayMusic
1857,play 1988 chant music on itunes,0,0,6,31,0,0,0,0,0,0,0,0,0,1,0,0,1,1,3,0,0,0,4,PlayMusic
1858,is it going to be cold today in wing,0,0,9,36,0,0,0,0,0,0,0,0,1,5,0,0,0,1,0,2,4,1,1,GetWeather
1859,play the newest phil stacey,0,0,5,27,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,2,PlayMusic
1860,play a 1964 symphony on netflix,0,0,6,31,0,0,0,0,0,0,0,0,0,2,0,0,0,1,2,0,1,0,2,PlayMusic
1861,open netflix and play kan man gifta sig i jeans,0,0,10,47,0,0,0,0,0,0,0,0,0,2,2,0,0,0,2,0,1,2,6,PlayMusic
1862,what s the weather like in big delta,0,0,8,36,0,0,0,1,0,0,0,0,1,4,0,0,0,0,0,2,1,1,2,GetWeather
1863,use service vimeo the genre slow rock,0,0,7,37,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,4,PlayMusic
1864,tell me when it ll be chillier in cavalero corner id,0,0,11,52,0,1,0,0,0,0,0,0,0,6,0,1,0,0,0,2,4,0,3,GetWeather
1865,what s the weather for april 10th 2028 in arkansas,0,0,10,50,0,0,0,1,0,0,0,0,1,5,0,0,1,1,0,1,1,0,3,GetWeather
1866,play music on netflix by don kikas,0,0,7,34,0,0,0,0,0,0,0,0,0,3,0,0,2,0,3,0,0,0,5,PlayMusic
1867,how cold is it in cargray argentina,0,0,7,35,1,0,0,0,0,0,0,0,1,4,0,0,1,0,0,1,1,1,2,GetWeather
1868,play some dream music,0,0,4,21,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,2,PlayMusic
1869,play elliot easton s album beautiful,0,0,6,36,0,0,0,0,0,0,0,0,1,1,1,0,0,0,2,0,1,1,4,PlayMusic
1870,play some eddie vinson on deezer,0,0,6,32,0,0,0,0,0,0,0,0,0,2,1,1,0,0,2,0,1,1,2,PlayMusic
1871,play the best sort by jan robbe on pandora,0,0,9,42,0,0,0,0,0,0,0,0,0,3,0,1,0,0,1,0,1,1,4,PlayMusic
1872,play easy listening,0,0,3,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,PlayMusic
1873,play songs by wise,0,0,4,18,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,3,PlayMusic
1874,play tom baxter tracks,0,0,4,22,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,4,PlayMusic
1875,play me a 2015 soundtrack on netflix,0,0,7,36,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,1,0,2,PlayMusic
1876,play music from 1958,0,0,4,20,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,2,PlayMusic
1877,which day this week will it get chilly in palmetto in,0,0,11,53,0,0,0,0,0,1,0,0,0,6,0,0,1,1,0,2,1,1,3,GetWeather
1878,is it chilly in fm,0,0,5,18,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,1,1,1,1,GetWeather
1879,what will the weather be like 56 weeks from now will there be sun in tabor,0,0,16,74,0,0,0,1,0,0,0,0,0,10,0,1,0,1,0,3,3,2,3,GetWeather
1880,play eighties track,0,0,3,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,2,PlayMusic
