,Intent,Query,Param1,Param2
2151,GetWeather,i need the weather at noon for e a vaughn wildlife management area,O O O O O B-timeRange O B-geographic_poi I-geographic_poi I-geographic_poi I-geographic_poi I-geographic_poi I-geographic_poi,"B-timeRange(noon), B-geographic_poi(e), I-geographic_poi(a), I-geographic_poi(vaughn), I-geographic_poi(wildlife), I-geographic_poi(management), I-geographic_poi(area),"
2152,PlayMusic,play a popular melody by lindsay lohan on youtube,O O O B-sort B-music_item O B-artist I-artist O B-service,"B-sort(popular), B-music_item(melody), B-artist(lindsay), I-artist(lohan), B-service(youtube),"
2153,GetWeather,is there going to be a depression in my current location on nov the ninth,O O O O O O B-condition_description O O B-current_location I-current_location O B-timeRange I-timeRange I-timeRange,"B-condition_description(depression), B-current_location(current), I-current_location(location), B-timeRange(nov), I-timeRange(the), I-timeRange(ninth),"
2154,GetWeather,show me the forecast for wisconsin,O O O O O B-state,"B-state(wisconsin),"
2155,PlayMusic,play my madrugando playlist on groove shark,O O O B-playlist O O B-service I-service,"B-playlist(madrugando), B-service(groove), I-service(shark),"
2156,GetWeather,please give me the weather for federated states of micronesia,O O O O O O B-state I-state I-state I-state,"B-state(federated), I-state(states), I-state(of), I-state(micronesia),"
2157,GetWeather,weather for cougar canyon wilderness,O O B-geographic_poi I-geographic_poi I-geographic_poi,"B-geographic_poi(cougar), I-geographic_poi(canyon), I-geographic_poi(wilderness),"
2158,PlayMusic,play the most popular coti songs on pandora,O O O B-sort I-sort B-artist O O B-service,"B-sort(most), I-sort(popular), B-artist(coti), B-service(pandora),"
2159,PlayMusic,play tune from sonny stitt,O O B-music_item O B-artist I-artist,"B-music_item(tune), B-artist(sonny), I-artist(stitt),"
2160,GetWeather,will it be cold in boyertown new zealand in eighteen hours,O O O B-condition_temperature O B-city B-country I-country B-timeRange I-timeRange I-timeRange,"B-condition_temperature(cold), B-city(boyertown), B-country(new), I-country(zealand), B-timeRange(in), I-timeRange(eighteen), I-timeRange(hours),"
2161,PlayMusic,play a ballad from 2000,O O B-music_item O B-year,"B-music_item(ballad), B-year(2000),"
2162,PlayMusic,play a paolo gregoletto song,O O B-artist I-artist B-music_item,"B-artist(paolo), I-artist(gregoletto), B-music_item(song),"
2163,GetWeather,what s the weather forecast for aug 8 2020 at my current location,O O O O O O B-timeRange I-timeRange I-timeRange O O B-current_location I-current_location,"B-timeRange(aug), I-timeRange(8), I-timeRange(2020), B-current_location(current), I-current_location(location),"
2164,PlayMusic,play prints in the stone by helen baylor,O B-album I-album I-album I-album O B-artist I-artist,"B-album(prints), I-album(in), I-album(the), I-album(stone), B-artist(helen), I-artist(baylor),"
2165,GetWeather,what is the six o clock forecast for west selmont in montserrat,O O O B-timeRange I-timeRange I-timeRange O O B-city I-city O B-country,"B-timeRange(six), I-timeRange(o), I-timeRange(clock), B-city(west), I-city(selmont), B-country(montserrat),"
2166,GetWeather,will it be warm at mountainair,O O O O B-condition_temperature O B-city,"B-condition_temperature(warm), B-city(mountainair),"
2167,PlayMusic,play music from artist ashley,O O O O B-artist,"B-artist(ashley),"
2168,GetWeather,what will the weather be in bayside on sep 21 2034,O O O O O O B-city O B-timeRange I-timeRange I-timeRange,"B-city(bayside), B-timeRange(sep), I-timeRange(21), I-timeRange(2034),"
2169,GetWeather,what s the forecast for walker bay nature reserve for next year,O O O O O O B-geographic_poi I-geographic_poi I-geographic_poi I-geographic_poi O B-timeRange I-timeRange,"B-geographic_poi(walker), I-geographic_poi(bay), I-geographic_poi(nature), I-geographic_poi(reserve), B-timeRange(next), I-timeRange(year),"
2170,PlayMusic,play me the greatest track of 1966,O O O B-sort B-music_item O B-year,"B-sort(greatest), B-music_item(track), B-year(1966),"
2171,GetWeather,what s the forecast for tonight far from east carpathian biosphere reserve,O O O O O B-timeRange B-spatial_relation O B-geographic_poi I-geographic_poi I-geographic_poi I-geographic_poi,"B-timeRange(tonight), B-spatial_relation(far), B-geographic_poi(east), I-geographic_poi(carpathian), I-geographic_poi(biosphere), I-geographic_poi(reserve),"
2172,PlayMusic,open spotify and play a song from the twenties by richard harvey,O B-service O O O B-music_item O O B-year O B-artist I-artist,"B-service(spotify), B-music_item(song), B-year(twenties), B-artist(richard), I-artist(harvey),"
2173,PlayMusic,play a top twenty symphony by bumble bee slim,O O B-sort I-sort B-music_item O B-artist I-artist I-artist,"B-sort(top), I-sort(twenty), B-music_item(symphony), B-artist(bumble), I-artist(bee), I-artist(slim),"
2174,PlayMusic,play hora din moldova by yamazaki maso,O B-track I-track I-track O B-artist I-artist,"B-track(hora), I-track(din), I-track(moldova), B-artist(yamazaki), I-artist(maso),"
2175,GetWeather,what will the weather be here at 07:08:00 am,O O O O O B-current_location O B-timeRange I-timeRange,"B-current_location(here), B-timeRange(07:08:00), I-timeRange(am),"
2176,PlayMusic,play the album remember shakti – the believer,O O B-music_item B-album I-album I-album I-album I-album,"B-music_item(album), B-album(remember), I-album(shakti), I-album(–), I-album(the), I-album(believer),"
2177,PlayMusic,play stereo by jonathan davis on deezer,O B-track O B-artist I-artist O B-service,"B-track(stereo), B-artist(jonathan), I-artist(davis), B-service(deezer),"
2178,GetWeather,can you tell me what the weather is doing in north epworth guam,O O O O O O O O O O B-city I-city B-country,"B-city(north), I-city(epworth), B-country(guam),"
2179,PlayMusic,play some music from miss platnum,O O O O B-artist I-artist,"B-artist(miss), I-artist(platnum),"
2180,GetWeather,what will the weather be like in russia in one hour from now,O O O O O O O B-country O B-timeRange I-timeRange I-timeRange I-timeRange,"B-country(russia), B-timeRange(one), I-timeRange(hour), I-timeRange(from), I-timeRange(now),"
2181,GetWeather,show me weather forecast in clontarf ky from 4 hours from now,O O O O O O B-city B-state O B-timeRange I-timeRange I-timeRange I-timeRange,"B-city(clontarf), B-state(ky), B-timeRange(4), I-timeRange(hours), I-timeRange(from), I-timeRange(now),"
2182,PlayMusic,play this is: animal collective please,O B-playlist I-playlist I-playlist I-playlist O,"B-playlist(this), I-playlist(is:), I-playlist(animal), I-playlist(collective),"
2183,GetWeather,what s the weather in waretown lebanon,O O O O O B-city B-country,"B-city(waretown), B-country(lebanon),"
2184,GetWeather,what was the weather last february in william a switzer provincial park,O O O O B-timeRange I-timeRange O B-geographic_poi I-geographic_poi I-geographic_poi I-geographic_poi I-geographic_poi,"B-timeRange(last), I-timeRange(february), B-geographic_poi(william), I-geographic_poi(a), I-geographic_poi(switzer), I-geographic_poi(provincial), I-geographic_poi(park),"
2185,GetWeather,weather near california,O B-spatial_relation B-state,"B-spatial_relation(near), B-state(california),"
2186,PlayMusic,i want to hear a full album on youtube by jem godfrey,O O O O O B-track B-music_item O B-service O B-artist I-artist,"B-track(full), B-music_item(album), B-service(youtube), B-artist(jem), I-artist(godfrey),"
2187,GetWeather,what s the weather going to be like this autumn in ca,O O O O O O O O O B-timeRange I-timeRange O B-state,"B-timeRange(this), I-timeRange(autumn), B-state(ca),"
2188,PlayMusic,play alles heeft ritme by liu tianhua,O O B-track I-track I-track O B-artist I-artist,"B-track(alles), I-track(heeft), I-track(ritme), B-artist(liu), I-artist(tianhua),"
2189,GetWeather,is it going to get any hotter in kerrick,O O O O O O O B-condition_temperature O B-city,"B-condition_temperature(hotter), B-city(kerrick),"
2190,PlayMusic,play the newest ep from the sixties,O O B-sort B-music_item O O B-year,"B-sort(newest), B-music_item(ep), B-year(sixties),"
2191,GetWeather,what is the forecast for hot temps in ocean park,O O O O O B-condition_temperature O O B-city I-city,"B-condition_temperature(hot), B-city(ocean), I-city(park),"
2192,GetWeather,tell me the weather forecast for korona,O O O O O O O B-city,"B-city(korona),"
2193,PlayMusic,play me a popular ronnie wood soundtrack,O O O B-sort B-artist I-artist B-music_item,"B-sort(popular), B-artist(ronnie), I-artist(wood), B-music_item(soundtrack),"
2194,GetWeather,tell me when it ll be sunny in ralls marshall islands,O O O O O O O B-condition_description O B-city B-country I-country,"B-condition_description(sunny), B-city(ralls), B-country(marshall), I-country(islands),"
2195,PlayMusic,play a chant by marina verenikina,O O O B-music_item O B-artist I-artist,"B-music_item(chant), B-artist(marina), I-artist(verenikina),"
2196,PlayMusic,play the top song by amon amarth on groove shark,O O B-sort B-music_item O B-artist I-artist O B-service I-service,"B-sort(top), B-music_item(song), B-artist(amon), I-artist(amarth), B-service(groove), I-service(shark),"
2197,GetWeather,will there be snowfall in pacific beach suriname,O O O B-condition_description O B-city I-city B-country,"B-condition_description(snowfall), B-city(pacific), I-city(beach), B-country(suriname),"
2198,PlayMusic,play odessa by maartin allcock,O O B-track O B-artist I-artist,"B-track(odessa), B-artist(maartin), I-artist(allcock),"
2199,PlayMusic,play mere lapsed by marilyn moore,O B-track I-track O B-artist I-artist,"B-track(mere), I-track(lapsed), B-artist(marilyn), I-artist(moore),"
2200,GetWeather,will it be warmer in ristigouche ecological reserve on nov the twentieth,O O O B-condition_temperature O B-geographic_poi I-geographic_poi I-geographic_poi O B-timeRange I-timeRange I-timeRange,"B-condition_temperature(warmer), B-geographic_poi(ristigouche), I-geographic_poi(ecological), I-geographic_poi(reserve), B-timeRange(nov), I-timeRange(the), I-timeRange(twentieth),"
2201,PlayMusic,play music from the seventies,O O O O B-year,"B-year(seventies),"
2202,GetWeather,will it be cold in boyertown new zealand in eighteen hours,O O O B-condition_temperature O B-city B-country I-country B-timeRange I-timeRange I-timeRange,"B-condition_temperature(cold), B-city(boyertown), B-country(new), I-country(zealand), B-timeRange(in), I-timeRange(eighteen), I-timeRange(hours),"
2203,GetWeather,please let me know the weather forcast of stanislaus national forest far in nine months,O O O O O O O O B-geographic_poi I-geographic_poi I-geographic_poi B-spatial_relation B-timeRange I-timeRange I-timeRange,"B-geographic_poi(stanislaus), I-geographic_poi(national), I-geographic_poi(forest), B-spatial_relation(far), B-timeRange(in), I-timeRange(nine), I-timeRange(months),"
2204,GetWeather,what is the weather forecast for manassa,O O O O O O B-city,"B-city(manassa),"
2205,GetWeather,will there be a lot of sun in dry prong somalia at 5 pm,O O O O O O B-condition_description O B-city I-city B-country O B-timeRange I-timeRange,"B-condition_description(sun), B-city(dry), I-city(prong), B-country(somalia), B-timeRange(5), I-timeRange(pm),"
2206,GetWeather,will there be wind in me,O O O B-condition_description O B-state,"B-condition_description(wind), B-state(me),"
2207,GetWeather,show freezing forcast now within the same area in north dakota,O B-condition_temperature O B-timeRange B-spatial_relation I-spatial_relation I-spatial_relation I-spatial_relation O B-state I-state,"B-condition_temperature(freezing), B-timeRange(now), B-spatial_relation(within), I-spatial_relation(the), I-spatial_relation(same), I-spatial_relation(area), B-state(north), I-state(dakota),"
2208,PlayMusic,play the artist tei last concert on netflix,O O O B-artist B-sort O O B-service,"B-artist(tei), B-sort(last), B-service(netflix),"
2209,PlayMusic,play the top ten by andrea del rosario,O O B-sort I-sort O B-artist I-artist I-artist,"B-sort(top), I-sort(ten), B-artist(andrea), I-artist(del), I-artist(rosario),"
2210,GetWeather,warren island state park distant weather forecast for 11 am,B-geographic_poi I-geographic_poi I-geographic_poi I-geographic_poi B-spatial_relation O O O B-timeRange I-timeRange,"B-geographic_poi(warren), I-geographic_poi(island), I-geographic_poi(state), I-geographic_poi(park), B-spatial_relation(distant), B-timeRange(11), I-timeRange(am),"
2211,PlayMusic,please play songs by lil jon,O O O O O B-artist I-artist,"B-artist(lil), I-artist(jon),"
2212,GetWeather,what s the weather in lime ridge dc,O O O O O B-city I-city B-state,"B-city(lime), I-city(ridge), B-state(dc),"
2213,GetWeather,forecast for willits christmas island twenty three minutes from now,O O B-city B-country I-country B-timeRange I-timeRange I-timeRange I-timeRange I-timeRange,"B-city(willits), B-country(christmas), I-country(island), B-timeRange(twenty), I-timeRange(three), I-timeRange(minutes), I-timeRange(from), I-timeRange(now),"
2214,GetWeather,what is the weather looking like for december the eleventh 2034 in md,O O O O O O O B-timeRange I-timeRange I-timeRange I-timeRange O B-state,"B-timeRange(december), I-timeRange(the), I-timeRange(eleventh), I-timeRange(2034), B-state(md),"
2215,PlayMusic,play music by christian bautista,O O O O B-artist I-artist,"B-artist(christian), I-artist(bautista),"
2216,GetWeather,how is faraway cloudy at 02:45 am in brumley,O O O B-spatial_relation B-condition_description O B-timeRange I-timeRange O B-city,"B-spatial_relation(faraway), B-condition_description(cloudy), B-timeRange(02:45), I-timeRange(am), B-city(brumley),"
2217,PlayMusic,i want to hear nokko s songs from the twenties,O O O O B-artist O O O O B-year,"B-artist(nokko), B-year(twenties),"
2218,GetWeather,can you give me the forecast for osgood,O O O O O O O B-city,"B-city(osgood),"
2219,GetWeather,what s the weather two months from now in arletta malawi,O O O O B-timeRange I-timeRange I-timeRange I-timeRange O B-city B-country,"B-timeRange(two), I-timeRange(months), I-timeRange(from), I-timeRange(now), B-city(arletta), B-country(malawi),"
2220,PlayMusic,play me the most popular peja song on slacker,O O O B-sort I-sort B-artist B-music_item O B-service,"B-sort(most), I-sort(popular), B-artist(peja), B-music_item(song), B-service(slacker),"
2221,GetWeather,is it supposed to be windy in me on june the 14th 2024,O O O O O B-condition_description O B-state O B-timeRange I-timeRange I-timeRange I-timeRange,"B-condition_description(windy), B-state(me), B-timeRange(june), I-timeRange(the), I-timeRange(14th), I-timeRange(2024),"
2222,PlayMusic,play music by country dick montana,O O O B-artist I-artist I-artist,"B-artist(country), I-artist(dick), I-artist(montana),"
2223,PlayMusic,please play some fourties music on spotify,O O O B-year O O B-service,"B-year(fourties), B-service(spotify),"
2224,GetWeather,will it be windy in tequesta,O O O O B-condition_description O B-city,"B-condition_description(windy), B-city(tequesta),"
2225,PlayMusic,play the top song from damon albarn using slacker,O O B-sort B-music_item O B-artist I-artist O B-service,"B-sort(top), B-music_item(song), B-artist(damon), I-artist(albarn), B-service(slacker),"
2226,PlayMusic,play the album everybody happy by lee aaron,O O B-music_item B-album I-album O B-artist I-artist,"B-music_item(album), B-album(everybody), I-album(happy), B-artist(lee), I-artist(aaron),"
2227,GetWeather,what is the weather like in long beach united kingdom,O O O O O O B-city I-city B-country I-country,"B-city(long), I-city(beach), B-country(united), I-country(kingdom),"
2228,PlayMusic,play that new song from 1970,O O B-sort B-music_item O B-year,"B-sort(new), B-music_item(song), B-year(1970),"
2229,GetWeather,book a restaurant on june the fifth in cavour,O O O O B-timeRange I-timeRange I-timeRange O B-city,"B-timeRange(june), I-timeRange(the), I-timeRange(fifth), B-city(cavour),"
2230,GetWeather,how chilly is it close to hollidaysburg,O B-condition_temperature O O B-spatial_relation O B-city,"B-condition_temperature(chilly), B-spatial_relation(close), B-city(hollidaysburg),"
2231,GetWeather,is the forecast stormy this afternoon in maryland,O O O B-condition_description O B-timeRange O B-state,"B-condition_description(stormy), B-timeRange(afternoon), B-state(maryland),"
2232,GetWeather,is it going to get chillier at 5 am in trussville bosnia and herzegovina,O O O O O B-condition_temperature O B-timeRange I-timeRange O B-city B-country I-country I-country,"B-condition_temperature(chillier), B-timeRange(5), I-timeRange(am), B-city(trussville), B-country(bosnia), I-country(and), I-country(herzegovina),"
2233,PlayMusic,i d like to listen to space music,O O O O O O B-genre O,"B-genre(space),"
2234,GetWeather,what is the weather forecast here,O O O O O B-current_location,"B-current_location(here),"
2235,GetWeather,will it be warmer in poplar bluff,O O O B-condition_temperature O B-city I-city,"B-condition_temperature(warmer), B-city(poplar), I-city(bluff),"
2236,GetWeather,is it going to be warmer in 2 years and a half in deweese,O O O O O B-condition_temperature B-timeRange I-timeRange I-timeRange I-timeRange I-timeRange I-timeRange O B-city,"B-condition_temperature(warmer), B-timeRange(in), I-timeRange(2), I-timeRange(years), I-timeRange(and), I-timeRange(a), I-timeRange(half), B-city(deweese),"
2237,PlayMusic,i want to hear this is the night from proof,O O O O O B-track I-track I-track I-track O B-artist,"B-track(this), I-track(is), I-track(the), I-track(night), B-artist(proof),"
2238,GetWeather,show weather forcast for ms on jan the 9th 2034,O O O O B-state O B-timeRange I-timeRange I-timeRange I-timeRange,"B-state(ms), B-timeRange(jan), I-timeRange(the), I-timeRange(9th), I-timeRange(2034),"
2239,GetWeather,please check the weather forecast here,O O O O O B-current_location,"B-current_location(here),"
2240,GetWeather,will weather conditions be stormy here from 6/15/2025 onward,O O O O B-condition_description B-current_location O B-timeRange O,"B-condition_description(stormy), B-current_location(here), B-timeRange(6/15/2025),"
2241,GetWeather,is it going to be colder in botswana by 09:30,O O O O O B-condition_temperature O B-country O B-timeRange,"B-condition_temperature(colder), B-country(botswana), B-timeRange(09:30),"
2242,GetWeather,how cloudy is it in morrisonville kentucky,O B-condition_description O O O B-city B-state,"B-condition_description(cloudy), B-city(morrisonville), B-state(kentucky),"
2243,PlayMusic,play some seventies music by janne puurtinen on youtube,O O B-year O O B-artist I-artist O B-service,"B-year(seventies), B-artist(janne), I-artist(puurtinen), B-service(youtube),"
2244,GetWeather,what is the weather forecast for monument of lihula,O O O O O O O B-geographic_poi I-geographic_poi I-geographic_poi,"B-geographic_poi(monument), I-geographic_poi(of), I-geographic_poi(lihula),"
2245,GetWeather,what s the weather in ri,O O O O O O B-state,"B-state(ri),"
2246,GetWeather,what is the predicted weather for my current spot next month,O O O O O O O B-current_location I-current_location B-timeRange I-timeRange,"B-current_location(current), I-current_location(spot), B-timeRange(next), I-timeRange(month),"
2247,PlayMusic,play some sister rosetta tharpe songs from the eighties,O O O B-artist I-artist I-artist O O O B-year,"B-artist(sister), I-artist(rosetta), I-artist(tharpe), B-year(eighties),"
2248,GetWeather,tell me the weather forecast nearby my current location,O O O O O B-spatial_relation O B-current_location I-current_location,"B-spatial_relation(nearby), B-current_location(current), I-current_location(location),"
2249,GetWeather,what s the weather forecast for saint pierre and miquelon,O O O O O O B-country I-country I-country I-country,"B-country(saint), I-country(pierre), I-country(and), I-country(miquelon),"
2250,PlayMusic,play a song by juanes on last fm,O O B-music_item O B-artist O B-service I-service,"B-music_item(song), B-artist(juanes), B-service(last), I-service(fm),"
2251,GetWeather,is it warm faraway in niger,O O B-condition_temperature B-spatial_relation O B-country,"B-condition_temperature(warm), B-spatial_relation(faraway), B-country(niger),"
2252,GetWeather,i want to book a restaurant in 40 weeks in iowa,O O O O O O B-timeRange I-timeRange I-timeRange O B-state,"B-timeRange(in), I-timeRange(40), I-timeRange(weeks), B-state(iowa),"
2253,GetWeather,what is the predicted weather on mar 27 for farragut state park,O O O O O O B-timeRange I-timeRange O B-geographic_poi I-geographic_poi I-geographic_poi,"B-timeRange(mar), I-timeRange(27), B-geographic_poi(farragut), I-geographic_poi(state), I-geographic_poi(park),"
2254,PlayMusic,play the top-5 sort of ballad music from 2012,O O O B-sort O O B-music_item O O B-year,"B-sort(top-5), B-music_item(ballad), B-year(2012),"
2255,GetWeather,what is the forecast for cloudy weather here,O O O O O B-condition_description O B-current_location,"B-condition_description(cloudy), B-current_location(here),"
2256,GetWeather,will there be a blizzard at a 4 am in sky valley,O O O O O B-condition_description O O B-timeRange I-timeRange O B-city I-city,"B-condition_description(blizzard), B-timeRange(4), I-timeRange(am), B-city(sky), I-city(valley),"
2257,GetWeather,what will the weather conditions be in hahntown wyoming at 1,O O O O O O O B-city B-state O B-timeRange,"B-city(hahntown), B-state(wyoming), B-timeRange(1),"
2258,PlayMusic,play a ladyhawke record,O O O B-artist B-music_item,"B-artist(ladyhawke), B-music_item(record),"
2259,PlayMusic,play the last song by goldie,O O B-sort B-music_item O B-artist,"B-sort(last), B-music_item(song), B-artist(goldie),"
2260,PlayMusic,play music from the playlist late night jazz,O O O O O B-playlist I-playlist I-playlist,"B-playlist(late), I-playlist(night), I-playlist(jazz),"
2261,PlayMusic,play a top 50 tune from the twenties by willi williams,O O B-sort I-sort B-music_item O O B-year O B-artist I-artist,"B-sort(top), I-sort(50), B-music_item(tune), B-year(twenties), B-artist(willi), I-artist(williams),"
2262,GetWeather,what is the forecast for papua new guinea for lunch for rainfall,O O O O O B-country I-country I-country O B-timeRange O B-condition_description,"B-country(papua), I-country(new), I-country(guinea), B-timeRange(lunch), B-condition_description(rainfall),"
2263,PlayMusic,play the newest ballad from chad urmston,O O B-sort B-music_item O B-artist I-artist,"B-sort(newest), B-music_item(ballad), B-artist(chad), I-artist(urmston),"
2264,GetWeather,what is the pennsylvania forecast for three forks for midnight,O O O B-state O O B-city I-city O B-timeRange,"B-state(pennsylvania), B-city(three), I-city(forks), B-timeRange(midnight),"
2265,GetWeather,what s the weather two months from now in arletta malawi,O O O O O B-timeRange I-timeRange I-timeRange I-timeRange O B-city B-country,"B-timeRange(two), I-timeRange(months), I-timeRange(from), I-timeRange(now), B-city(arletta), B-country(malawi),"
2266,GetWeather,on april the twelfth in somalia is the weather chilly,O B-timeRange I-timeRange I-timeRange O B-country O O O B-condition_temperature,"B-timeRange(april), I-timeRange(the), I-timeRange(twelfth), B-country(somalia), B-condition_temperature(chilly),"
2267,GetWeather,tell me if there will be a depression today in kiribati,O O O O O O O B-condition_description B-timeRange O B-country,"B-condition_description(depression), B-timeRange(today), B-country(kiribati),"
2268,PlayMusic,play some tango on iheart,O O B-genre O B-service,"B-genre(tango), B-service(iheart),"
2269,PlayMusic,play the album alas y raíces by dave pybus,O O B-music_item B-album I-album I-album O B-artist I-artist,"B-music_item(album), B-album(alas), I-album(y), I-album(raíces), B-artist(dave), I-artist(pybus),"
2270,PlayMusic,play lighter by pamela jintana racine,O B-track O B-artist I-artist I-artist,"B-track(lighter), B-artist(pamela), I-artist(jintana), I-artist(racine),"
2271,GetWeather,what s the weather forecast for hooven lithuania on national grandparents day,O O O O O O B-city B-country O B-timeRange I-timeRange I-timeRange,"B-city(hooven), B-country(lithuania), B-timeRange(national), I-timeRange(grandparents), I-timeRange(day),"
2272,GetWeather,forecast for antelope island and other spots within the same area,O O O B-geographic_poi I-geographic_poi O O O B-spatial_relation I-spatial_relation I-spatial_relation I-spatial_relation,"B-geographic_poi(antelope), I-geographic_poi(island), B-spatial_relation(within), I-spatial_relation(the), I-spatial_relation(same), I-spatial_relation(area),"
2273,PlayMusic,play the track fight on state by yuvan shankar raja,O O B-music_item B-track I-track I-track O B-artist I-artist I-artist,"B-music_item(track), B-track(fight), I-track(on), I-track(state), B-artist(yuvan), I-artist(shankar), I-artist(raja),"
2274,PlayMusic,play post garage wave revival playlist,O B-playlist I-playlist I-playlist I-playlist O,"B-playlist(post), I-playlist(garage), I-playlist(wave), I-playlist(revival),"
2275,GetWeather,is the weather chilly in dew de,O O O B-condition_temperature O B-city B-state,"B-condition_temperature(chilly), B-city(dew), B-state(de),"
2276,GetWeather,is there a storm here,O O O B-condition_description B-current_location,"B-condition_description(storm), B-current_location(here),"
2277,GetWeather,what is the pennsylvania forecast for three forks for midnight,O O O B-state O O B-city I-city O B-timeRange,"B-state(pennsylvania), B-city(three), I-city(forks), B-timeRange(midnight),"
2278,PlayMusic,play satire,O B-genre,"B-genre(satire),"
2279,PlayMusic,play hanging in the balance by nik kershaw on zvooq,O O B-album I-album I-album I-album O B-artist I-artist O B-service,"B-album(hanging), I-album(in), I-album(the), I-album(balance), B-artist(nik), I-artist(kershaw), B-service(zvooq),"
2280,PlayMusic,play the top-five ballad sort from 2004,O O O B-sort B-music_item O O B-year,"B-sort(top-five), B-music_item(ballad), B-year(2004),"
2281,PlayMusic,play the greatest melody from paul wright on pandora,O O B-sort B-music_item O B-artist I-artist O B-service,"B-sort(greatest), B-music_item(melody), B-artist(paul), I-artist(wright), B-service(pandora),"
2282,GetWeather,will it be colder in vermont,O O O B-condition_temperature O B-state,"B-condition_temperature(colder), B-state(vermont),"
2283,PlayMusic,play only hope by graham bonnet,O B-track I-track O B-artist I-artist,"B-track(only), I-track(hope), B-artist(graham), I-artist(bonnet),"
2284,PlayMusic,play zvooq southern gothic,O B-service B-playlist I-playlist,"B-service(zvooq), B-playlist(southern), I-playlist(gothic),"
2285,GetWeather,is saint robert hotter than turkmenistan,O O B-city I-city B-condition_temperature O B-country,"B-city(saint), I-city(robert), B-condition_temperature(hotter), B-country(turkmenistan),"
2286,GetWeather,is it warm in albania at noon,O O O B-condition_temperature O B-country O B-timeRange,"B-condition_temperature(warm), B-country(albania), B-timeRange(noon),"
2287,GetWeather,is it hot here,O O O B-condition_temperature B-current_location,"B-condition_temperature(hot), B-current_location(here),"
2288,GetWeather,forecast for hardinsburg 20 seconds from now,O O B-city B-timeRange I-timeRange I-timeRange I-timeRange,"B-city(hardinsburg), B-timeRange(20), I-timeRange(seconds), I-timeRange(from), I-timeRange(now),"
2289,GetWeather,forecast for 11 am in nauru,O O B-timeRange I-timeRange O B-country,"B-timeRange(11), I-timeRange(am), B-country(nauru),"
2290,PlayMusic,play me a song by stephen jones,O O O B-music_item O B-artist I-artist,"B-music_item(song), B-artist(stephen), I-artist(jones),"
2291,GetWeather,what s the temperature here,O O O O B-current_location,"B-current_location(here),"
2292,PlayMusic,i want to hear eighties music by noko on deezer,O O O O B-year O O B-artist O B-service,"B-year(eighties), B-artist(noko), B-service(deezer),"
2293,PlayMusic,play a tune by andrew findon,O O O B-music_item O B-artist I-artist,"B-music_item(tune), B-artist(andrew), I-artist(findon),"
2294,PlayMusic,play seven steps to heaven by wikluh sky,O B-track I-track I-track I-track O B-artist I-artist,"B-track(seven), I-track(steps), I-track(to), I-track(heaven), B-artist(wikluh), I-artist(sky),"
2295,GetWeather,what s the forecast for pipe spring national monument,O O O O O B-geographic_poi I-geographic_poi I-geographic_poi I-geographic_poi,"B-geographic_poi(pipe), I-geographic_poi(spring), I-geographic_poi(national), I-geographic_poi(monument),"
2296,PlayMusic,play a popular chant by brian epstein,O O O B-sort B-music_item O B-artist I-artist,"B-sort(popular), B-music_item(chant), B-artist(brian), I-artist(epstein),"
2297,GetWeather,what s the weather forecast not far from here,O O O O O B-spatial_relation I-spatial_relation O B-current_location,"B-spatial_relation(not), I-spatial_relation(far), B-current_location(here),"
2298,PlayMusic,listen to music from 1975,O O O O B-year,"B-year(1975),"
2299,PlayMusic,play some fifties music by chris brown,O O B-year O O B-artist I-artist,"B-year(fifties), B-artist(chris), I-artist(brown),"
2300,PlayMusic,play me a mel draisey tune from the fourties with vimeo,O O O B-artist I-artist B-music_item O O B-year O B-service,"B-artist(mel), I-artist(draisey), B-music_item(tune), B-year(fourties), B-service(vimeo),"
2301,PlayMusic,play a ladyhawke record,O O B-artist B-music_item,"B-artist(ladyhawke), B-music_item(record),"
2302,PlayMusic,play some tony grant,O O B-artist I-artist,"B-artist(tony), I-artist(grant),"
2303,PlayMusic,play a top ryuichi kawamura chant on groove shark,O O B-sort B-artist I-artist B-music_item O B-service I-service,"B-sort(top), B-artist(ryuichi), I-artist(kawamura), B-music_item(chant), B-service(groove), I-service(shark),"
2304,GetWeather,what s the weather in paris,O O O O O B-city,"B-city(paris),"
2305,PlayMusic,play some fast fusion on spotify,O O B-genre I-genre O B-service,"B-genre(fast), I-genre(fusion), B-service(spotify),"
2306,PlayMusic,play fifties music on slacker,O B-year O O B-service,"B-year(fifties), B-service(slacker),"
2307,PlayMusic,play the soundtrack that tom bellamy contributed to,O O B-music_item O B-artist I-artist O O,"B-music_item(soundtrack), B-artist(tom), I-artist(bellamy),"
2308,PlayMusic,play the it could only happen with you album by lawrence,O O B-album I-album I-album I-album I-album I-album B-music_item O B-artist,"B-album(it), I-album(could), I-album(only), I-album(happen), I-album(with), I-album(you), B-music_item(album), B-artist(lawrence),"
2309,PlayMusic,use deezer to play music by junior brown,O O B-service O O O O B-artist I-artist,"B-service(deezer), B-artist(junior), I-artist(brown),"
2310,PlayMusic,play a tune by syreeta wright from twenties from the top,O O B-music_item O B-artist I-artist O B-year O O B-sort,"B-music_item(tune), B-artist(syreeta), I-artist(wright), B-year(twenties), B-sort(top),"
2311,GetWeather,is it sunny in qatar,O O B-condition_description O B-country,"B-condition_description(sunny), B-country(qatar),"
2312,GetWeather,what s the weather in dazey,O O O O O B-city,"B-city(dazey),"
