,query,ExclamationMark,QuestionMark,countWords,countChars,how,when,where,what,whose,which,why,who,count am-is-are,count stop words,PERSON,ORG,GPE,DATE,count music common,count weather common,count get common,count send common,VRB,ADJ,NON,common_t_g,common_s_p_m_t,output
5722,view chat requests,0,0,3,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,GET_MESSAGE
5723,view chat request,0,0,3,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,GET_MESSAGE
5724,Start a new message to my aunt and ask her her location,0,0,12,55,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,1,1,2,1,3,0,1,SEND_MESSAGE
5725,is it going to be hot here in 8 years,0,0,10,37,0,0,0,0,0,0,0,0,1,6,0,0,0,1,0,1,0,0,3,2,1,1,1,GetWeather
5726,Message Janet and let her know we will be at Times Square for New Year this year.,0,0,17,81,0,0,0,0,0,0,0,0,0,8,1,0,0,2,0,0,0,2,3,0,7,0,1,SEND_MESSAGE
5727,when did fortnite battle royal come out on xbox,0,0,9,47,0,1,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,2,1,3,0,0,SEARCH
5728,Show me messages from Deborah,0,0,5,29,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,2,0,1,GET_MESSAGE
5729,Show me message from Deborah,0,0,5,28,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,2,0,1,GET_MESSAGE
5730,retrieve my chat requests,0,0,4,25,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,2,0,0,GET_MESSAGE
5731,retrieve my confabulation requests,0,0,4,34,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,0,0,GET_MESSAGE
5732,who sang the them song for as told by ginger,0,0,10,44,0,0,0,0,0,0,0,1,0,6,0,0,0,0,1,0,0,0,1,0,3,0,0,SEARCH
5733,tell laura to turn right after fairfax avenue to get to the $5 parking lot,0,0,15,74,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,2,2,5,1,1,SEND_MESSAGE
5734,Message James and let him know we will need a table of 20 for the party tonight.,0,0,17,80,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,3,3,0,5,0,1,SEND_MESSAGE
5735,when did the log flume closed at alton towers,0,0,9,45,0,1,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,2,0,4,0,0,SEARCH
5736,Remind Greg that I am on vacation next week,0,0,9,43,0,0,0,0,0,0,0,0,1,3,0,0,0,1,0,1,0,0,1,0,4,0,0,SEND_MESSAGE
5737,who won in the brown vs board of education case,0,0,10,47,0,0,0,0,0,0,0,1,0,5,1,0,0,0,0,0,0,0,1,1,4,0,0,SEARCH
5738,when does the next warrior book come out,0,0,8,40,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,2,1,0,0,SEARCH
5739,will it be overcast in seventeen minutes in the united arab emirates,0,0,12,68,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0,0,0,2,2,3,0,0,GetWeather
5740,Message Cindy and ask what time she will be at the party tonight,0,0,13,64,0,0,0,1,0,0,0,0,0,7,1,0,0,0,0,0,0,4,2,0,5,0,1,SEND_MESSAGE
5741,play the top song from damon albarn using slacker,0,0,9,49,0,0,0,0,0,0,0,0,0,2,1,0,0,0,3,0,0,0,2,1,4,0,0,PlayMusic
5742,Did anyone from Baby Sitters chat message me?,0,1,8,45,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,4,0,1,GET_MESSAGE
5743,Did anyone from Baby Sitters chat message me?,0,1,8,45,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,4,0,1,GET_MESSAGE
5744,who expanded the palace of versailles to its present size,0,0,10,57,0,0,0,0,0,0,0,1,0,5,0,1,0,0,0,0,0,0,1,1,3,0,0,SEARCH
5745,big bang theory season 11 how many episodes,0,0,8,43,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,4,0,0,SEARCH
5746,display my chats,0,0,3,16,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,0,0,GET_MESSAGE
5747,display my chats,0,0,3,16,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,0,0,GET_MESSAGE
5748,which central american nations border the pacific ocean and the caribbean sea,0,0,12,77,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,1,4,3,0,0,SEARCH
5749,play music from 1964,0,0,4,20,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,2,0,0,PlayMusic
5750,play an ep by uncle jimmy thompson,0,0,7,34,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,1,1,3,0,0,PlayMusic
5751,when did 10 shilling note go out of circulation,0,0,9,47,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,3,0,0,SEARCH
5752,when is the new dragon ball movie coming out,0,0,9,44,0,1,0,0,0,0,0,0,1,4,0,1,0,0,0,0,1,0,2,1,3,0,0,SEARCH
5753,Tell Chris to make sure he takes pictures of Mount Rainier,0,0,11,58,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,2,1,5,1,1,SEND_MESSAGE
5754,browse chat requests,0,0,3,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,GET_MESSAGE
5755,browsing chat requests,0,0,3,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,GET_MESSAGE
5756,Please find my latest messages.,0,0,5,31,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,2,0,1,GET_MESSAGE
5757,Please find my latest message.,0,0,5,30,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,2,0,1,GET_MESSAGE
5758,Can I retrieve all messages sent to Telina in the last year?,0,1,12,60,0,0,0,0,0,0,0,0,0,4,0,0,1,1,0,0,1,0,2,1,3,0,1,GET_MESSAGE
5759,Can 1 retrieve all content sent to Telina in the concluding year?,0,1,12,65,0,0,0,0,0,0,0,0,0,4,0,0,1,1,0,1,1,0,2,1,3,0,0,GET_MESSAGE
5760,what s the weather forecast for new zealand,0,0,8,43,0,0,0,1,0,0,0,0,1,4,0,0,1,0,0,2,1,0,1,1,3,0,0,GetWeather
5761,have zvooq play songs from the fifties,0,0,7,38,0,0,0,0,0,0,0,0,0,3,1,0,0,1,2,0,0,0,2,1,2,0,0,PlayMusic
5762,who was appointed as the first governor general of india and when,0,0,12,65,0,1,0,0,0,0,0,1,0,7,0,0,1,0,0,0,0,0,2,1,3,0,0,SEARCH
5763,what is the american samoa forecast for hot weather,0,0,9,51,0,0,0,1,0,0,0,0,1,4,0,0,1,0,0,3,0,0,1,2,3,0,0,GetWeather
5764,Message Shelly asking if she moved,0,0,6,34,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,2,0,2,0,1,SEND_MESSAGE
5765,i need a time of 21 minutes from now for here,0,0,11,45,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,1,1,2,3,0,0,GetWeather
5766,is it snowy in demotte ms,0,0,6,25,0,0,0,0,0,0,0,0,1,3,0,0,1,0,0,0,0,0,2,0,2,0,0,GetWeather
5767,who wrote fantastic beasts and where to find them 2,0,0,10,51,0,0,1,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,2,1,1,0,0,SEARCH
5768,where does the band imagine dragons come from,0,0,8,45,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,3,0,0,SEARCH
5769,Get video messages from WhatsApp.,0,0,5,33,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,3,0,1,GET_MESSAGE
5770,Get video messages from WhatsApp.,0,0,5,33,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,3,0,1,GET_MESSAGE
5771,warmer condition in haiti south otselic,0,0,6,39,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,3,0,0,GetWeather
5772,Send my cousin a message,0,0,5,24,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,2,0,1,SEND_MESSAGE
5773,when is the last time the saints won the superbowl,0,0,10,50,0,1,0,0,0,0,0,0,1,6,0,1,0,0,0,0,0,1,2,1,3,0,0,SEARCH
5774,Hello Tony play my message from Aaron brown tiday.,0,0,9,50,0,0,0,0,0,0,0,0,0,2,2,0,0,0,1,0,0,0,1,0,6,0,1,GET_MESSAGE
5775,Hi Tony play my message from Aaron brown university tiday.,0,0,10,58,0,0,0,0,0,0,0,0,0,2,1,1,0,0,1,0,0,0,1,1,6,0,1,GET_MESSAGE
5776,message Cheryl asking if she received the spreadsheet I just emailed.,0,0,11,69,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,1,3,1,3,0,1,SEND_MESSAGE
5777,"Send a message to Vicky to let her know it is supposed to rain tomorrow, there's a 90% chance of rain.",0,0,21,102,0,0,0,0,0,0,0,0,1,9,0,0,0,1,0,0,0,2,8,0,6,0,1,SEND_MESSAGE
5778,Can you find Carol's texts?,0,1,5,27,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,2,0,0,GET_MESSAGE
5779,Can you find Christmas carol ' sulfur school text?,0,1,9,50,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,4,0,0,GET_MESSAGE
5780,Message Kevin asking if he liked his lunch.,0,0,8,43,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,1,2,0,3,0,1,SEND_MESSAGE
5781,Message Stephanie and let her know that the PCHS alumni are having a meeting tomorrow at 3.,0,0,17,91,0,0,0,0,0,0,0,0,1,8,1,1,0,1,0,0,0,3,4,0,6,0,1,SEND_MESSAGE
5782,Get me Kik messages from Hannah now.,0,0,7,36,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,1,1,3,0,1,GET_MESSAGE
5783,Fix maine Kik messages from Hannah now.,0,0,7,39,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1,5,0,1,GET_MESSAGE
5784,Message my friends and ask them if they are close to my location?,0,1,13,65,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,1,2,1,3,0,1,SEND_MESSAGE
5785,where does the paraguay river start and end,0,0,8,43,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,1,0,4,0,0,SEARCH
5786,minimum age limit for chief justice of india,0,0,8,44,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,2,4,0,0,SEARCH
5787,Send Brian a message asking if he is up for doing anything later.,0,0,13,65,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,1,3,1,4,0,1,SEND_MESSAGE
5788,where is the poison stored in a snake,0,0,8,37,0,0,1,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,2,0,2,0,0,SEARCH
5789,who played the hobbits in the lord of the rings,0,0,10,47,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,1,0,3,0,0,SEARCH
5790,"Ask Shaney what services she wants done, and what day she is available for an appointment.",0,0,16,90,0,0,0,1,0,0,0,0,1,8,1,0,0,0,0,0,0,0,4,1,5,0,0,SEND_MESSAGE
5791,total length of great wall of china in miles,0,0,9,44,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,2,4,0,0,SEARCH
5792,is it going to be colder in louisiana,0,0,8,37,0,0,0,0,0,0,0,0,1,5,0,0,1,0,0,1,0,0,4,0,1,1,1,GetWeather
5793,please look up my chats,0,0,5,23,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,2,0,0,GET_MESSAGE
5794,please look up my schmooze,0,0,5,26,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,2,0,0,GET_MESSAGE
5795,who decides the number of judges in the high court,0,0,10,50,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,1,1,3,0,0,SEARCH
5796,what is the british virgin islands forecast for next november,0,0,10,61,0,0,0,1,0,0,0,0,1,4,0,1,0,1,0,1,0,0,2,2,3,0,0,GetWeather
5797,Send a message to Wiley that the service begins at 11am,0,0,11,55,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,2,0,3,0,1,SEND_MESSAGE
5798,where are the giant redwoods located in california,0,0,8,50,0,0,1,0,0,0,0,0,1,4,0,0,1,0,0,0,0,0,2,1,2,0,0,SEARCH
5799,who is credited with developing the geocentric view,0,0,8,51,0,0,0,0,0,0,0,1,1,4,0,0,0,0,0,0,1,0,3,0,2,0,0,SEARCH
5800,play the best sort by jan robbe on pandora,0,0,9,42,0,0,0,0,0,0,0,0,0,3,1,0,0,0,1,0,0,0,1,1,4,0,0,PlayMusic
5801,play music from 2014,0,0,4,20,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,2,0,0,PlayMusic
5802,play monie love tunes on google music from 1984 from her song list,0,0,13,66,0,0,0,0,0,0,0,0,0,4,1,0,0,1,4,0,0,0,1,2,5,0,0,PlayMusic
5803,let molly know that i have the keys for the family gathering tomrrow evening at the club house,0,0,18,94,0,0,0,0,0,0,0,0,0,8,1,1,0,0,0,0,0,3,3,1,8,0,0,SEND_MESSAGE
5804,play an album from 1987,0,0,5,23,0,0,0,0,0,0,0,0,0,2,0,0,0,1,2,0,0,0,1,0,1,0,0,PlayMusic
5805,play music from 2000 on spotify,0,0,6,31,0,0,0,0,0,0,0,0,0,2,0,1,0,1,3,0,0,0,0,0,3,0,0,PlayMusic
5806,where did the original parent trap take place,0,0,8,45,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,1,3,0,0,SEARCH
5807,Write a message to Bob and tell him I need my lounge chairs from the garage,0,0,16,75,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,3,0,5,1,2,SEND_MESSAGE
5808,use pandora to play music from maki onaga from the album made in the nineties,0,0,15,77,0,0,0,0,0,0,0,0,0,6,1,0,0,1,4,0,0,0,2,1,6,0,0,PlayMusic
5809,what will the weather be for hooksett,0,0,7,37,0,0,0,1,0,0,0,0,0,5,0,0,1,0,0,1,0,0,1,0,2,0,0,GetWeather
5810,Text Bob and tell him to create a new event about the practice session,0,0,14,70,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,1,0,2,1,5,1,1,SEND_MESSAGE
5811,Message Casey to say thank you,0,0,6,30,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,3,0,1,SEND_MESSAGE
5812,will there be a lot of wind far away from here on sep the twenty-third 2021,0,0,16,75,0,0,0,0,0,0,0,0,0,9,0,0,0,1,0,0,0,0,2,5,2,0,0,GetWeather
5813,Message Betsy to say I am going to be late,0,0,10,42,0,0,0,0,0,0,0,0,1,4,1,0,0,0,0,0,0,1,4,1,2,1,2,SEND_MESSAGE
5814,who has the best playoff record in nba history,0,0,9,46,0,0,0,0,0,0,0,1,0,4,0,1,0,0,0,0,0,0,1,2,3,0,0,SEARCH
5815,what are the three fifty shades of grey books,0,0,9,45,0,0,0,1,0,0,0,0,1,4,0,1,0,0,0,0,0,0,1,1,3,0,0,SEARCH
5816,what is money as a medium of exchange,0,0,8,37,0,0,0,1,0,0,0,0,1,5,0,0,0,0,0,0,0,0,1,0,3,0,0,SEARCH
5817,how many teams in fa cup fourth round,0,0,8,37,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,3,0,0,SEARCH
5818,Send video message,0,0,3,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,SEND_MESSAGE
5819,which city is called the manchester of north india,0,0,9,50,0,0,0,0,0,1,0,0,1,4,0,0,1,0,0,0,0,0,2,1,3,0,0,SEARCH
5820,weather for burr,0,0,3,16,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,0,0,GetWeather
5821,who won the very first super bowl ever,0,0,8,38,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,1,3,2,0,0,SEARCH
5822,will it get chilly 1 minute from now in carterville,0,0,10,51,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,3,0,0,1,2,2,0,0,GetWeather
5823,"Tell Chris I'm running a few minutes late, but should be in Portland by 10.",0,0,15,75,0,0,0,0,0,0,0,0,0,7,1,0,1,0,0,0,0,0,4,2,4,1,1,SEND_MESSAGE
5824,Show me family group messages.,0,0,5,30,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,3,0,1,GET_MESSAGE
5825,Show pine tree state house group messages.,0,0,7,42,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,2,5,0,1,GET_MESSAGE
5826,play cheerful playlist,0,0,3,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,2,0,0,PlayMusic
5827,lets hear some booty bass,0,0,5,25,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,3,0,0,PlayMusic
5828,will it be rainy at 8 in dans mountain state park,0,0,11,49,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,2,0,0,3,0,3,0,0,GetWeather
5829,New texts from bird watchers thread,0,0,6,35,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,4,0,0,GET_MESSAGE
5830,New texts from razzing watcher thread,0,0,6,37,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,3,0,0,GET_MESSAGE
5831,message my friends and ask them if they want to go to vegas to celebrate shari's birthday,0,0,17,89,0,0,0,0,0,0,0,0,0,8,1,0,1,0,0,0,0,2,5,0,4,0,1,SEND_MESSAGE
5832,Send George a message that I will not be meeting him in the morning.,0,0,14,68,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,2,1,4,0,1,SEND_MESSAGE
5833,When was the last message my mom sent?,0,1,8,38,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,2,1,2,0,1,GET_MESSAGE
5834,When be the last message my mom sent?,0,1,8,37,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,2,1,2,0,1,GET_MESSAGE
5835,play bob hilliard top-twenty music,0,0,5,34,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,1,2,2,0,0,PlayMusic
5836,bowler to take hattrick in both inning in test match,0,0,10,52,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,1,0,5,0,0,SEARCH
5837,is it going to rain at my current position,0,0,9,42,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,1,0,0,3,1,1,1,1,GetWeather
5838,who played morticia in the addams family tv show,0,0,9,48,1,0,0,0,0,0,0,1,0,3,2,0,0,0,0,0,1,0,1,0,5,0,0,SEARCH
5839,who was the first female elected governor of alabama,0,0,9,52,0,0,0,0,0,0,0,1,0,4,0,0,1,0,0,0,0,0,2,1,3,0,0,SEARCH
5840,play rie fu music sorted by the best,0,0,8,36,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,1,1,4,0,0,PlayMusic
5841,Send a message to my Uncle Jack what time does his party start.,0,0,13,63,0,0,0,1,0,0,0,0,0,6,1,0,0,0,0,0,0,2,2,0,6,0,1,SEND_MESSAGE
5842,play my 88 keys playlist,0,0,5,24,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,2,0,1,0,0,PlayMusic
5843,launch my chat requests,0,0,4,23,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,3,0,0,GET_MESSAGE
5844,launch my chat request,0,0,4,22,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,3,0,0,GET_MESSAGE
5845,display chat requests,0,0,3,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,GET_MESSAGE
5846,showing chat requests,0,0,3,21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,GET_MESSAGE
5847,at 7 pm what will the weather be in iceland,0,0,10,43,0,0,0,1,0,0,0,0,0,6,0,0,1,0,0,2,0,0,1,0,3,0,0,GetWeather
5848,i want to hear a fourties ballad by luciano,0,0,9,43,0,0,0,0,0,0,0,0,0,4,2,0,0,0,1,0,0,0,3,0,3,0,0,PlayMusic
5849,is it hotter here on navy birthday,0,0,7,34,0,0,0,0,0,0,0,0,1,4,0,1,0,0,0,0,0,1,1,3,1,0,0,GetWeather
5850,send message to Marty that I've booked a trip to visit the sand dunes in Colorado for the whole family in September,0,0,22,115,0,0,0,0,0,0,0,1,0,9,1,0,1,1,0,0,0,1,3,2,8,0,1,SEND_MESSAGE
5851,bring up my chats,0,0,4,17,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,GET_MESSAGE
5852,bring up my chat,0,0,4,16,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,1,0,1,0,0,GET_MESSAGE
5853,play me the most popular peja song on slacker,0,0,9,45,0,0,0,0,0,0,0,0,0,4,1,0,0,0,2,0,0,0,1,2,3,0,0,PlayMusic
5854,who is the supreme justice of the supreme court,0,0,9,47,0,0,0,0,0,0,0,1,1,5,0,2,0,0,0,0,0,0,1,2,2,0,0,SEARCH
5855,Check my new messages on Line.,0,0,6,30,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,1,1,2,0,1,GET_MESSAGE
5856,Check my new content on Note.,0,0,6,29,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,1,1,2,0,0,GET_MESSAGE
5857,play some twenties theme music on google music,0,0,8,46,0,0,0,0,0,0,0,0,0,2,0,0,0,1,4,0,0,0,2,0,4,0,0,PlayMusic
5858,Message Emily and say I'm running late.,0,0,7,39,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3,1,2,0,1,SEND_MESSAGE
5859,ask matt if he remembers our first date,0,0,8,39,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,1,2,1,2,0,0,SEND_MESSAGE
5860,Send my Nephew a message,0,0,5,24,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,2,0,1,SEND_MESSAGE
5861,play top-50 eighties theme from alain caron,0,0,7,43,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,2,1,3,0,0,PlayMusic
5862,what will the weather be nineteen seconds from now from the little manatee river state park,0,0,16,91,0,0,0,1,0,0,0,0,0,8,0,0,0,0,0,3,0,0,1,3,6,0,0,GetWeather
5863,ask janis when the r&B grooves start at the grove?,0,1,10,50,0,1,0,0,0,0,0,0,0,4,1,1,0,0,0,0,0,2,1,0,6,0,0,SEND_MESSAGE
5864,Get me messages from Aunt Jill?,0,1,6,31,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,3,0,1,GET_MESSAGE
5865,Make pine tree state messages from Aunty Jill?,0,1,8,46,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,7,0,1,GET_MESSAGE
5866,Ask Rob how bad the traffic is,0,0,7,30,1,0,0,0,0,0,0,0,1,3,1,0,0,0,0,0,0,0,1,1,3,0,0,SEND_MESSAGE
5867,Message Kirsten and tell her I liked her hat today,0,0,10,50,0,0,0,0,0,0,0,0,0,3,1,0,0,1,0,0,1,0,2,0,4,1,2,SEND_MESSAGE
5868,play top-50 peter frampton songs,0,0,5,32,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,3,0,0,PlayMusic
5869,Message Mom and tell her I'm leaving in 5.,0,0,9,42,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,2,1,2,SEND_MESSAGE
5870,Ask John how far he is from my current location.,0,0,10,48,1,0,0,0,0,0,0,0,1,5,1,0,0,0,0,1,0,0,1,2,3,0,0,SEND_MESSAGE
5871,play eve,0,0,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,PlayMusic
5872,who was the first to sing always on my mind,0,0,10,43,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,2,2,1,0,0,SEARCH
5873,what was guantanamo bay before it was a prison,0,0,9,46,0,0,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,2,1,2,0,0,SEARCH
5874,first stage of kohlberg's preconventional level of moral reasoning,0,0,9,66,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,3,4,0,0,SEARCH
5875,MESSAGE TOMMY AND LET HIM KNOW THE THEATER IS NOW SHOWING THE MOVIE HE WANTS TO SEE.,0,0,17,84,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,16,0,2,SEND_MESSAGE
5876,Ask Scott if he wants starbucks,0,0,6,31,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,1,0,3,0,0,SEND_MESSAGE
5877,Let Sue know community day is September 16th this year.,0,0,10,55,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,1,3,0,5,0,0,SEND_MESSAGE
5878,pull up my chat requests please,0,0,6,31,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,1,0,3,0,0,GET_MESSAGE
5879,wrench up my chat requests please,0,0,6,33,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,1,0,3,0,0,GET_MESSAGE
5880,i d like to hear music from 1951 preferably a soundtrack,0,0,11,56,0,0,0,0,0,0,0,0,0,5,0,0,0,1,2,1,0,0,2,2,2,0,0,PlayMusic
5881,How crap this traffic is terrible please inform my family that I will be late.,0,0,15,78,1,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,3,2,4,0,0,SEND_MESSAGE
5882,play top 100 indie tracks on spotify on lastfm,0,0,9,46,0,0,0,0,0,0,0,0,0,2,0,2,0,0,4,0,0,0,1,1,4,0,0,PlayMusic
5883,when will the next episode of flash be aired,0,0,9,44,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,2,1,2,0,0,SEARCH
5884,use deezer to play music by junior brown,0,0,8,40,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,0,1,1,4,0,0,PlayMusic
5885,would you pull up chat requests,0,0,6,31,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,1,0,1,0,0,GET_MESSAGE
5886,would you pull upwardly chat requests,0,0,6,37,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,1,1,0,0,GET_MESSAGE
5887,who won women's singles us open 2017,0,0,7,36,0,0,0,0,0,0,0,1,0,2,0,0,0,1,0,0,0,0,1,1,2,0,0,SEARCH
5888,what mlb teams did deion sanders play for,0,0,8,41,0,0,0,1,0,0,0,0,0,3,1,1,0,0,1,0,0,0,3,0,3,0,0,SEARCH
5889,Message the Coach to tell her we'll be late.,0,0,9,44,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,1,2,1,2,SEND_MESSAGE
5890,will it get chillier in las lomas british virgin islands on nov the 21st,0,0,14,72,0,0,0,0,0,0,0,0,0,5,0,0,2,1,0,0,0,0,1,4,2,0,0,GetWeather
5891,Say thanks to Sherry,0,0,4,20,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,0,0,SEND_MESSAGE
5892,can i use lastfm to listen to twilight time by dj khalil,0,0,12,56,0,0,0,0,0,0,0,0,0,5,1,1,0,0,3,0,0,1,2,1,5,0,0,PlayMusic
