question,answer/0,answer/1,answer/2,answer/3,answer/4,answer/5,answer/6,answer/7,answer/8,answer/9,answer/10,answer/11,answer/12,answer/13,answer/14,answer/15,answer/16,answer/17,answer/18,answer/19,answer/20,answer/21,answer/22
who sings i can't take my eyes off of you,Frankie Valli,,,,,,,,,,,,,,,,,,,,,,
who plays colin on young and the restless,Tristan Rogers,,,,,,,,,,,,,,,,,,,,,,
how many indian astronauts have gone to space,2,,,,,,,,,,,,,,,,,,,,,,
what is the width of a cricket bat,no more than 4.25 inches,,,,,,,,,,,,,,,,,,,,,,
why did ric flair go back to wcw,February 1993,,,,,,,,,,,,,,,,,,,,,,
who plays manny in diary of a wimpy kid,Connor and Owen Fielding,Wyatt and Dylan Walters,,,,,,,,,,,,,,,,,,,,,
where does the light reaction of photosynthesis occur,on the thylakoid membranes,,,,,,,,,,,,,,,,,,,,,,
who has the most super bowls in nfl history,Pittsburgh Steelers,The Pittsburgh Steelers,,,,,,,,,,,,,,,,,,,,,
who has appeared in the most royal rumbles,Shawn Michaels,,,,,,,,,,,,,,,,,,,,,,
where did they film the game of thrones,Croatia,Iceland,Canada,Spain,Morocco,Malta,Scotland,United States,Northern Ireland,,,,,,,,,,,,,,
where did the last name taylor originate from,Old French,,,,,,,,,,,,,,,,,,,,,,
american horror story freak show girl kidnapped by clown,Bonnie Lipton,,,,,,,,,,,,,,,,,,,,,,
who won the most mvp awards in the nba,Kareem Abdul-Jabbar,,,,,,,,,,,,,,,,,,,,,,
who plays sven in the santa clarita diet,Leo Howard,,,,,,,,,,,,,,,,,,,,,,
who is the current cruiserweight champion in wwe,Cedric Alexander,"Cedric Alexander,",,,,,,,,,,,,,,,,,,,,,
who did corbin dance with on dancing with the stars,Karina Smirnoff,,,,,,,,,,,,,,,,,,,,,,
who abolished the monarchy and declared france a republic,Convention,France's Legislative Assembly,,,,,,,,,,,,,,,,,,,,,
who plays harley quinn in the lego batman movie,Jenny Slate,,,,,,,,,,,,,,,,,,,,,,
how many different kinds of pokemon cards are there,eleven,,,,,,,,,,,,,,,,,,,,,,
what is australia's location in the world and region,Oceania,,,,,,,,,,,,,,,,,,,,,,
batman and robin episode only fools and horses,"""Heroes and Villains""",,,,,,,,,,,,,,,,,,,,,,
who won the 30 man royal rumble match,Shinsuke Nakamura,Randy Orton,,,,,,,,,,,,,,,,,,,,,
who is the supreme justice of the supreme court,John Roberts,,,,,,,,,,,,,,,,,,,,,,
what is the most common blood type in sweden,A+,AB+,,,,,,,,,,,,,,,,,,,,,
what does a heart rate of 131 mean,Tachycardia,tachycardia in adults,,,,,,,,,,,,,,,,,,,,,
when did the government change the retirement age,2015,,,,,,,,,,,,,,,,,,,,,,
how oxygenated blood returns to the heart from the lungs,pulmonary circulation,,,,,,,,,,,,,,,,,,,,,,
who has won the most f1 grand prix,Michael Schumacher,,,,,,,,,,,,,,,,,,,,,,
how many games does a team have to win for the world series,best-of-seven,,,,,,,,,,,,,,,,,,,,,,
when did the log flume closed at alton towers,10 October 2015,2015,,,,,,,,,,,,,,,,,,,,,
what happens when an air mass is pushed up and over a mountain range,Orographic lift,,,,,,,,,,,,,,,,,,,,,,
where does the last name hansen come from,Norway,the Faroe Islands,Scandinavian,Denmark,,,,,,,,,,,,,,,,,,,
who said life is like a bowl of cherries,Lew Brown,,,,,,,,,,,,,,,,,,,,,,
how long is the famous suspension bridge in san francisco and what is it called,one-mile-wide,Golden Gate Bridge,,,,,,,,,,,,,,,,,,,,,
name a food you might eat on thanksgiving,a large roasted turkey,turkey,,,,,,,,,,,,,,,,,,,,,
when did sierra nevada brewery open in asheville,early 2014,January 2012,2014,,,,,,,,,,,,,,,,,,,,
who said have you no sense of decency,Joseph Nye Welch,,,,,,,,,,,,,,,,,,,,,,
who was the chicago bears quarterback last year,Matt Barkley,Jay Cutler (5),Matt Barkley (6),Brian Hoyer,Jay Cutler,Brian Hoyer (5),,,,,,,,,,,,,,,,,
when did the dallas cowboys win their last playoff game,2014,2016,,,,,,,,,,,,,,,,,,,,,
which animal is the carrier of the h1n1 virus,Pig,pigs,,,,,,,,,,,,,,,,,,,,,
where did the ancestors of the domestic goat originate,Iran,,,,,,,,,,,,,,,,,,,,,,
how many episodes in season 4 of last ship,10,,,,,,,,,,,,,,,,,,,,,,
when does part 5 of jojo take place,The manga begins in 2001,2001,,,,,,,,,,,,,,,,,,,,,
where are the washington redskins based out of,the Washington metropolitan area,"FedExField in Landover, Maryland",,,,,,,,,,,,,,,,,,,,,
what is the highest base on the ph scale,greater than 14,,,,,,,,,,,,,,,,,,,,,,
where is the love meaning of the song,lament on various worldwide problems,,,,,,,,,,,,,,,,,,,,,,
who played marius in the movie les miserables,Eddie Redmayne,,,,,,,,,,,,,,,,,,,,,,
when is the strictly come dancing results show recorded,Saturday,Sunday night,,,,,,,,,,,,,,,,,,,,,
who played chaka on land of the lost tv show,Phillip Paley,,,,,,,,,,,,,,,,,,,,,,
who invented the first home video security system,her husband Albert Brown,Marie Van Brittan Brown,,,,,,,,,,,,,,,,,,,,,
when did sussex split into east and west,1832,1889,,,,,,,,,,,,,,,,,,,,,
who sold the most records elvis or the beatles,The Beatles,,,,,,,,,,,,,,,,,,,,,,
what does a bull shark tooth look like,needle-like teeth,needle-like,,,,,,,,,,,,,,,,,,,,,
bosnia and herzegovina croatia macedonia and slovenia all used to be parts of,Yugoslavia,,,,,,,,,,,,,,,,,,,,,,
how many quarterbacks have a receiving touchdown in the superbowl,1,,,,,,,,,,,,,,,,,,,,,,
what act did parliament pass after the boston tea party,The Intolerable Acts,Intolerable Acts,the Coercive Acts,,,,,,,,,,,,,,,,,,,,
how many seasons of johnny bravo are there,four,,,,,,,,,,,,,,,,,,,,,,
where does the sweetness of fruit come from,"Fructose, or fruit sugar",Fructose,,,,,,,,,,,,,,,,,,,,,
who plays drew's boyfriend on the night shift,Rick,,,,,,,,,,,,,,,,,,,,,,
when does kubo and the two strings release,"August 19, 2016","August 19, 2016",,,,,,,,,,,,,,,,,,,,,
who plays nikko in the wizard of oz,Patrick Walshe,,,,,,,,,,,,,,,,,,,,,,
what is a e8 in the marine corps,Master sergeant,First sergeant,,,,,,,,,,,,,,,,,,,,,
who stole the mona lisa from the louvre in 1911,Vincenzo Peruggia,,,,,,,,,,,,,,,,,,,,,,
who sang the them song for as told by ginger,Melissa Disney,R&B artist Macy Gray,Macy Gray,Cree Summer,,,,,,,,,,,,,,,,,,,
when does brooklyn nine nine season 5 episode 12,"March 18, 2018",,,,,,,,,,,,,,,,,,,,,,
who is going to host the 2018 winter olympics,South Korea,"Pyeongchang County, South Korea",,,,,,,,,,,,,,,,,,,,,
which came first the walking dead comic or show,comic book,comic,,,,,,,,,,,,,,,,,,,,,
who played john clark sr on nypd blue,Joe Spano,,,,,,,,,,,,,,,,,,,,,,
who played peter benton's sister on er,Jackie Robbins,,,,,,,,,,,,,,,,,,,,,,
where is the protien made in the cell,in the cell nucleus,cell nucleus,,,,,,,,,,,,,,,,,,,,,
who is given credit for inventing the aqua lung,Jacques Cousteau,engineer Émile Gagnan,Émile Gagnan,,,,,,,,,,,,,,,,,,,,
who won the 1st battle of bull run,Confederate victory,Confederate forces,Confederate,,,,,,,,,,,,,,,,,,,,
who plays the voice of john smith in pocahontas,Mel Gibson,,,,,,,,,,,,,,,,,,,,,,
computer based models of real life situation are called,Computer simulation,Computer simulations,,,,,,,,,,,,,,,,,,,,,
how many inches is the iphone 5s screen,4 in,4-inch screen size,,,,,,,,,,,,,,,,,,,,,
5 cities with the highest population in europe,London,Saint Petersburg,Berlin,Moscow,Istanbul,,,,,,,,,,,,,,,,,,
who is the valley of the dolls based on,Dean Martin,Judy Garland,Ethel Merman,Carole Landis,,,,,,,,,,,,,,,,,,,
when did the movie the post begin filming,May 2017,"May 30, 2017",,,,,,,,,,,,,,,,,,,,,
who is the girl who played in the grinch,Taylor Michel Momsen,,,,,,,,,,,,,,,,,,,,,,
who took over the dutch colony in north america,England,English,,,,,,,,,,,,,,,,,,,,,
who wrote the theme song for mission impossible,Lalo Schifrin,Argentine composer Lalo Schifrin,,,,,,,,,,,,,,,,,,,,,
who wrote the theme to last of the mohicans,Dougie MacLean,,,,,,,,,,,,,,,,,,,,,,
when did day light savings start in the us,"March 31, 1918",1918,"March 19, 1918",March 11,,,,,,,,,,,,,,,,,,,
what does the m number mean on a pint glass,imperial fluid ounces,the manufacturing company or site,,,,,,,,,,,,,,,,,,,,,
where is beijing located on the world map,northern China,in northern China,,,,,,,,,,,,,,,,,,,,,
when does mexico play in the winter olympics,9 to 25 February 2018,,,,,,,,,,,,,,,,,,,,,,
who dies in the lost city of z,Manley,,,,,,,,,,,,,,,,,,,,,,
when does the black panther movie soundtrack come out,"February 9, 2018","February 16, 2018",,,,,,,,,,,,,,,,,,,,,
when was the letter j introduced to the alphabet,in Middle High German,1524,,,,,,,,,,,,,,,,,,,,,
what flag is red and has a gold star,flag of Vietnam,Vietnam,The flag of Vietnam,,,,,,,,,,,,,,,,,,,,
who expanded the palace of versailles to its present size,Louis XIV,Louis XV,,,,,,,,,,,,,,,,,,,,,
when was the last time the vikings made the superbowl,in the 1970s,,,,,,,,,,,,,,,,,,,,,,
when do we find out luke and leia are siblings,Return of the Jedi,In Return of the Jedi,,,,,,,,,,,,,,,,,,,,,
when did the uk and us become allies,Since 1940,1940,,,,,,,,,,,,,,,,,,,,,
who wrote the song going to kansas city,Jerry Leiber and Mike Stoller,Jerry Leiber,Mike Stoller,,,,,,,,,,,,,,,,,,,,
where did the battle of issus take place,southern Anatolia,in southern Anatolia,,,,,,,,,,,,,,,,,,,,,
what is the name of the muslim dress,hijab,,,,,,,,,,,,,,,,,,,,,,
when does the new saw 8 come out,"October 27, 2017",,,,,,,,,,,,,,,,,,,,,,
when were cigarette ads banned from tv uk,1 August 1965,,,,,,,,,,,,,,,,,,,,,,
who invented the transtheoretical model of behavior change,colleagues,Carlo Di Clemente,,,,,,,,,,,,,,,,,,,,,
who recorded i can't help falling in love with you,Elvis Presley,,,,,,,,,,,,,,,,,,,,,,
when did india win their first cricket match,1952,,,,,,,,,,,,,,,,,,,,,,
which term is used to identify having official power to act,authority,Authority,,,,,,,,,,,,,,,,,,,,,
when does grey's anatomy come back on in march,"March 1, 2018",,,,,,,,,,,,,,,,,,,,,,
who was president when the panama canal was built,Theodore Roosevelt,President Theodore Roosevelt,,,,,,,,,,,,,,,,,,,,,
where was the remake of dirty dancing filmed,High Hampton Inn in Cashiers,"Hendersonville, North Carolina",western North Carolina,,,,,,,,,,,,,,,,,,,,
who played the little boy in polar express,Daryl Sabara,Dante Pastula,,,,,,,,,,,,,,,,,,,,,
what channel does thursday night football come on regular tv,NBC,,,,,,,,,,,,,,,,,,,,,,
when did how you remind me come out,"August 21, 2001","August 21, 2001",,,,,,,,,,,,,,,,,,,,,
who is new prime minister of italy 2018,TBD,,,,,,,,,,,,,,,,,,,,,,
when did the subway open in new york,"October 27, 1904",1904,,,,,,,,,,,,,,,,,,,,,
what is the speed of the nascar pace car,pit road speed,,,,,,,,,,,,,,,,,,,,,,
who won the silver medal in womens figure skating,Evgenia Medvedeva,,,,,,,,,,,,,,,,,,,,,,
what year is the deer hunter set in,late 1967,1967,,,,,,,,,,,,,,,,,,,,,
what type of writing did ancient egypt use,hieroglyphs,Egyptian hieroglyphs,,,,,,,,,,,,,,,,,,,,,
who did the united states win its independence from,the British Empire,Great Britain,,,,,,,,,,,,,,,,,,,,,
the first element on the periodic table is,Hydro­gen,hydrogen,,,,,,,,,,,,,,,,,,,,,
who wrote the song oh lord won't you buy me a mercedes benz,Janis Joplin,Bob Neuwirth,Michael McClure,,,,,,,,,,,,,,,,,,,,
who was the first imperial power that was fighting in vietnam,France,,,,,,,,,,,,,,,,,,,,,,
who is the captain of richmond football club,Trent Cotchin,,,,,,,,,,,,,,,,,,,,,,
who is the first indian climber of mount everest,Bachendri Pal,,,,,,,,,,,,,,,,,,,,,,
who is the writer of 50 shades of grey,Erika Mitchell Leonard,E. L. James,,,,,,,,,,,,,,,,,,,,,
who votes to elect a rajya sabha memmber,state legislatures,,,,,,,,,,,,,,,,,,,,,,
what land mass was north america a part of about 300 million years ago,Pangaea,Pangaea or Pangea,,,,,,,,,,,,,,,,,,,,,
who was defeated in the french and indian war,the French,Wabanaki Confederacy,British,France,,,,,,,,,,,,,,,,,,,
how many episodes curse of oak island season 5,18,,,,,,,,,,,,,,,,,,,,,,
where was the first nhl hockey game played,Ottawa,Montreal,,,,,,,,,,,,,,,,,,,,,
who played mr thatcher in when calls the heart,Garwin Sanford,,,,,,,,,,,,,,,,,,,,,,
who plays cesar in the show on my block,Diego Tinoco,,,,,,,,,,,,,,,,,,,,,,
where would the group bacteroids likely be found,the human colon,human colon,,,,,,,,,,,,,,,,,,,,,
who was the pinkerton detective agency's first female detective,Kate Warne,,,,,,,,,,,,,,,,,,,,,,
who played harley in harley davidson and the marlboro man,Mickey Rourke,,,,,,,,,,,,,,,,,,,,,,
who were the original voices of the flintstones,Verna Felton,Bea Benaderet,Don Messick,Harvey Korman,Alan Reed,Mel Blanc,Jean Vander Pyl,John Stephenson,,,,,,,,,,,,,,,
where did they get the vibranium to make captain americas shield,Wakanda,,,,,,,,,,,,,,,,,,,,,,
who plays the short cop on will and grace,Ryan Pinkston,,,,,,,,,,,,,,,,,,,,,,
what is loihi and where does it originate from,from the Hawaii hotspot,,,,,,,,,,,,,,,,,,,,,,
anastomosis between the epididymis and the vas deferens,Vasoepididymostomy,,,,,,,,,,,,,,,,,,,,,,
when was the last time astros was in the world series,2017,2005,,,,,,,,,,,,,,,,,,,,,
who won so you think you can dance season 13,Kida,"Leon ""Kida"" Burns",,,,,,,,,,,,,,,,,,,,,
who played lionel in as time goes by,"Geoffrey Dyson Palmer, OBE",Geoffrey Dyson Palmer,,,,,,,,,,,,,,,,,,,,,
who helped the british in the french and indian war,Cherokee,Iroquois Confederacy,the colonies of British America,Catawba,Iroquois,,,,,,,,,,,,,,,,,,
who was the german leader who signed the treaty of versailles,Gustav Bauer,President Friedrich Ebert,,,,,,,,,,,,,,,,,,,,,
who played ricky in secret life of the american teenager,Daren Maxwell Kagasoff,,,,,,,,,,,,,,,,,,,,,,
a good that can be used in place of another good,A substitute good,substitute good,,,,,,,,,,,,,,,,,,,,,
what is the meaning of the name sinead,God forgave/God gratified,,,,,,,,,,,,,,,,,,,,,,
who gets first pick of fa cup games,BBC,the BBC,,,,,,,,,,,,,,,,,,,,,
what is the written dialogue portion of a musical called,script,libretto,,,,,,,,,,,,,,,,,,,,,
in florida it is illegal to sell alcohol before 1 pm on any sunday. this is an example of,Blue laws,,,,,,,,,,,,,,,,,,,,,,
who played the original wonder woman on tv,Lynda Carter,,,,,,,,,,,,,,,,,,,,,,
the man in the high castle episode 1 season 1,The New World,,,,,,,,,,,,,,,,,,,,,,
who is the voice of the other mother in coraline,Teri Hatcher,,,,,,,,,,,,,,,,,,,,,,
when was the last time the dodgers played yankees in the world series,1981,,,,,,,,,,,,,,,,,,,,,,
who has the highest paid contract in the nba,Stephen Curry,,,,,,,,,,,,,,,,,,,,,,
when does jo come in grey's anatomy,season 9,2012,July 2012,,,,,,,,,,,,,,,,,,,,
which financial statement involves all aspects of the accounting​ equation,balance sheet,The balance sheet,,,,,,,,,,,,,,,,,,,,,
who got the most passing yards in the nfl,Peyton Manning,,,,,,,,,,,,,,,,,,,,,,
when was it was not death for i stood up published,1890,1891,,,,,,,,,,,,,,,,,,,,,
bacterial cell walls are made rigid by the presence of,Peptidoglycan,,,,,,,,,,,,,,,,,,,,,,
when did 10 shilling note go out of circulation,22 November 1970,1970,,,,,,,,,,,,,,,,,,,,,
how many medals did austria win in the 2011 alpine skiing world championships,8,,,,,,,,,,,,,,,,,,,,,,
when did the song rapper's delight come out,1979,"September 16, 1979",,,,,,,,,,,,,,,,,,,,,
when did the flash first appear on arrow,second season,,,,,,,,,,,,,,,,,,,,,,
who sang how can you mend a broken heart first,Bee Gees,the Bee Gees,,,,,,,,,,,,,,,,,,,,,
who played in the stanley cup finals last year,Nashville Predators,Pittsburgh Penguins,,,,,,,,,,,,,,,,,,,,,
when did the continental congress vote to adopt the declaration of independence,"July 2, 1776",,,,,,,,,,,,,,,,,,,,,,
where does the us launch space shuttles from,Florida,,,,,,,,,,,,,,,,,,,,,,
a country having an island location and a country having continental location,Australia,,,,,,,,,,,,,,,,,,,,,,
which horse and jockey won the melbourne cup in 2002,Media Puzzle,Damien Oliver,,,,,,,,,,,,,,,,,,,,,
when was last time bayern munich won champions league,2012–13,2013,2000–01,,,,,,,,,,,,,,,,,,,,
who sang what i like about you originally,The Romantics.,The Romantics,American rock band The Romantics,,,,,,,,,,,,,,,,,,,,
the complete collection of dna and genes is called,genome,chromosome,,,,,,,,,,,,,,,,,,,,,
who plays big momma in big mommas house,Ella Mitchell,Martin Lawrence,,,,,,,,,,,,,,,,,,,,,
when were 7 books removed from the bible,1546,,,,,,,,,,,,,,,,,,,,,,
what percentage of global man-made co2 emissions comes from worldwide aviation,4 percent cumulative effect,,,,,,,,,,,,,,,,,,,,,,
when did i'm coming out come out,"August 22, 1980","August 22, 1980",,,,,,,,,,,,,,,,,,,,,
how long has tom brady been playing professional football,18-season career,,,,,,,,,,,,,,,,,,,,,,
what is one element a topographic map shows,relief,,,,,,,,,,,,,,,,,,,,,,
spyder from once upon a time in venice,Jason Momoa,,,,,,,,,,,,,,,,,,,,,,
who dies in season 6 of once upon a time,Hyde,Jekyll,,,,,,,,,,,,,,,,,,,,,
who won mark and goal of the year 2017,Joe Daniher,,,,,,,,,,,,,,,,,,,,,,
who said i'll gladly pay you tuesday,Wimpy,,,,,,,,,,,,,,,,,,,,,,
where is the 7th game of the world series played,"Dodger Stadium, Los Angeles",,,,,,,,,,,,,,,,,,,,,,
when does the next season of wynonna earp start,2018,"January 15, 2018",,,,,,,,,,,,,,,,,,,,,
what is the emblematic rhythm of dominican republic,merengue,bachata,,,,,,,,,,,,,,,,,,,,,
what side does us army go on acu,the right,,,,,,,,,,,,,,,,,,,,,,
who sang it's a mean old world,T-Bone Walker,,,,,,,,,,,,,,,,,,,,,,
who did the astros play last time they were in the world series,White Sox,Los Angeles Dodgers,,,,,,,,,,,,,,,,,,,,,
who was the inventor who developed a way to record sound,Thomas Edison,,,,,,,,,,,,,,,,,,,,,,
who became a leader of the indian national congress,Mahatma Gandhi,,,,,,,,,,,,,,,,,,,,,,
who has the most sacks in college football,Mike Czerwien,,,,,,,,,,,,,,,,,,,,,,
what does zonia receive from reuben in the play,kiss,,,,,,,,,,,,,,,,,,,,,,
during the great depression in the 1930s the u.s. economy experienced a,economic recession,recession,an economic recession,,,,,,,,,,,,,,,,,,,,
who is the guy who walked across the twin towers,Philippe Petit,,,,,,,,,,,,,,,,,,,,,,
turkish finnish and hungarian belong to which family of languages,Uralic languages,,,,,,,,,,,,,,,,,,,,,,
who sponsored the phoenix open before waste management,Friedman Billings Ramsey,,,,,,,,,,,,,,,,,,,,,,
when was i can only imagine the song released,1999,2001,,,,,,,,,,,,,,,,,,,,,
how much money did the film titanic make,$2.18 billion,$2.187 billion,,,,,,,,,,,,,,,,,,,,,
who came up with the theory of relativity,Albert Einstein,,,,,,,,,,,,,,,,,,,,,,
where does prime rib come from on a cow,the primal rib,,,,,,,,,,,,,,,,,,,,,,
where is the meridian that is opposite the prime meridian located,the 180th meridian,antimeridian,,,,,,,,,,,,,,,,,,,,,
what does it mean to fuse the spine,joins two or more vertebrae,,,,,,,,,,,,,,,,,,,,,,
who took control of jamestown and made new rules that made everyone work,John Smith,,,,,,,,,,,,,,,,,,,,,,
who presides over the highest criminal court in a district,District Judge,,,,,,,,,,,,,,,,,,,,,,
who played stonewall jackson in gods and generals,Stephen Lang,,,,,,,,,,,,,,,,,,,,,,
how did early humans make use of stones during the prehistoric period,hunt,start fires,bury their dead,,,,,,,,,,,,,,,,,,,,
who won britain's next top model 2016,Chloe Keenan,,,,,,,,,,,,,,,,,,,,,,
which state was returned to spain after the revolutionary war,Florida,Menorca,,,,,,,,,,,,,,,,,,,,,
where do they film take me out fernando's,Club Bijou on Chapel Street,,,,,,,,,,,,,,,,,,,,,,
who played booster in jingle all the way,Curtis Armstrong,,,,,,,,,,,,,,,,,,,,,,
dendrites and cell bodies are components of what type of matter found in the brain,gray,Grey matter,,,,,,,,,,,,,,,,,,,,,
what was the united states foreign policy after ww1 started,neutrality,,,,,,,,,,,,,,,,,,,,,,
which nfl coach has the most superbowl rings,Bill Belichick,,,,,,,,,,,,,,,,,,,,,,
when did radio shack change to the source,"April 26, 2005",2005,,,,,,,,,,,,,,,,,,,,,
who wrote the theme song for the winter olympics,Leo Arnaud,,,,,,,,,,,,,,,,,,,,,,
when did little polveir win the grand national,1989,,,,,,,,,,,,,,,,,,,,,,
most assists in an nba all star game,60,22,,,,,,,,,,,,,,,,,,,,,
when is the next episode of flash airing,"May 8, 2018",,,,,,,,,,,,,,,,,,,,,,
when did the democratic party change its name,the 1830s,,,,,,,,,,,,,,,,,,,,,,
who did michael showers play on vampire diaries,The Man,,,,,,,,,,,,,,,,,,,,,,
where does the largest amount of federal tax revenue come from,California,,,,,,,,,,,,,,,,,,,,,,
where does wild caught sockeye salmon come from,the Northern Pacific Ocean,,,,,,,,,,,,,,,,,,,,,,
who won the mvp for the national league,"Stanton, Giancarlo",Giancarlo Stanton,,,,,,,,,,,,,,,,,,,,,
what is the latest edition of the intelligent investor,Fourth Revised Edition,2003,,,,,,,,,,,,,,,,,,,,,
who is the girl that played darlene in roseanne,Sara Gilbert,,,,,,,,,,,,,,,,,,,,,,
who does tyler end up with in you get me,Ali,,,,,,,,,,,,,,,,,,,,,,
big bang theory season 11 how many episodes,14,12,,,,,,,,,,,,,,,,,,,,,
when was i look at the world poem written,30–31 October 2000,,,,,,,,,,,,,,,,,,,,,,
what is the year round weather in dubai,tropical desert climate,,,,,,,,,,,,,,,,,,,,,,
who played g baby in the movie hardball,DeWayne Warren,,,,,,,,,,,,,,,,,,,,,,
when was where have all the flowers gone written,1955,,,,,,,,,,,,,,,,,,,,,,
when was the wheel introduced to north america,about 1500 BC,,,,,,,,,,,,,,,,,,,,,,
who was named african footballer of the year 2014,Yaya Touré,,,,,,,,,,,,,,,,,,,,,,
where does the last name cintron come from,Portuguese,Spanish-French,,,,,,,,,,,,,,,,,,,,,
who formed and first came to the colony of maryland,the English,,,,,,,,,,,,,,,,,,,,,,
what is the biggest town in west virginia,Charleston,,,,,,,,,,,,,,,,,,,,,,
what are the 5 prohibitions of yom kippur,No marital relations,No wearing of leather shoes,No eating and drinking,No bathing or washing,,,,,,,,,,,,,,,,,,,
who died in the first episode of stranger things,Benny,,,,,,,,,,,,,,,,,,,,,,
who plays zoey in i love you man,Rashida Jones,,,,,,,,,,,,,,,,,,,,,,
which is the default file extension for an audio file in windows media player,Windows Playlist (WPL),,,,,,,,,,,,,,,,,,,,,,
who owns the dower house in the archers,Lilian Bellamy,Caroline Sterling,,,,,,,,,,,,,,,,,,,,,
to aru kagaku no railgun s episode 3,Project Radio Noise,,,,,,,,,,,,,,,,,,,,,,
1 the bureau of land management manages over acres of land in the united states,247.3 million,,,,,,,,,,,,,,,,,,,,,,
what cities are in san joaquin county california,Lodi,Stockton,Lathrop,Manteca,Ripon,Tracy,Escalon,,,,,,,,,,,,,,,,
when does the mlb season start and finish,March 29,"October 31, 2018",,,,,,,,,,,,,,,,,,,,,
who has won the 2018 formula one australia grand prix tournament,Ferrari driver Sebastian Vettel,Sebastian Vettel,,,,,,,,,,,,,,,,,,,,,
who said everyone will be famous for 15 minutes,Andy Warhol,,,,,,,,,,,,,,,,,,,,,,
when does the new adventure time come out,"April 21, 2017",,,,,,,,,,,,,,,,,,,,,,
dynamin is associated with which type of vesicle,newly formed vesicles,,,,,,,,,,,,,,,,,,,,,,
when did the revolution begin in the united states,1775,1765,,,,,,,,,,,,,,,,,,,,,
who played tom on as the world turns,Jason Kincaid (1984),Jason Kincaid,C. David Colson,Peter Galman,Scott Holmes,Gregg Marx,Justin Deas,others,Tom Tammi,,,,,,,,,,,,,,
who won the ncaa women's championship last year 2017,South Carolina Gamecocks,South Carolina,,,,,,,,,,,,,,,,,,,,,
who made the nuclear model of an atom,Ernest Rutherford,,,,,,,,,,,,,,,,,,,,,,
when does the little couples new season start,"September 19, 2017",,,,,,,,,,,,,,,,,,,,,,
what is the common name for gravitational force,Gravity,"Gravity, or gravitation",,,,,,,,,,,,,,,,,,,,,
who played mrs warboys in one foot in the grave,Doreen Mantle,,,,,,,,,,,,,,,,,,,,,,
who does tony end up with on skins,Michelle,,,,,,,,,,,,,,,,,,,,,,
what is the population of fayetteville north carolina,"204,408 in 2013",,,,,,,,,,,,,,,,,,,,,,
when was harry potter and the philosopher's stone made,14 November 2001,1997,,,,,,,,,,,,,,,,,,,,,
who were the nationalist in the spanish civil war,the CEDA,the Falange,,,,,,,,,,,,,,,,,,,,,
who owns the biggest house in beverly hills,Anthony Pritzker,,,,,,,,,,,,,,,,,,,,,,
when is the flash coming back after christmas,"January 16, 2018",,,,,,,,,,,,,,,,,,,,,,
where do the signals for apoptosis come from,from other cells,,,,,,,,,,,,,,,,,,,,,,
when did the battles of lexington and concord happen,"April 19, 1775",,,,,,,,,,,,,,,,,,,,,,
who has the most number one single hits,The Beatles,,,,,,,,,,,,,,,,,,,,,,
what do you call a person who officiates a wedding,vow master,solemniser,marriage officiant,"""vow master""",,,,,,,,,,,,,,,,,,,
where did the river thames start and end,"Thames Estuary, North Sea",,,,,,,,,,,,,,,,,,,,,,
where is a simple gear train used in real life,Automobile drivetrains,,,,,,,,,,,,,,,,,,,,,,
when was how deep is your love released,1977,September 1977,,,,,,,,,,,,,,,,,,,,,
which apostle spoke at the council of jerusalem,Paul,James,Barnabas,Simon Peter,,,,,,,,,,,,,,,,,,,
when was the last time the seattle seahawks won the superbowl,2013,,,,,,,,,,,,,,,,,,,,,,
who said one man's vulgarity is another's lyric,Justice Harlan,,,,,,,,,,,,,,,,,,,,,,
when did men's curling start in the olympics,1924,1998,1998 Nagano Games,,,,,,,,,,,,,,,,,,,,
who does claire from mcleods daughters end up with,Alex Ryan,,,,,,,,,,,,,,,,,,,,,,
what's the dwarf's name in game of thrones,Tyrion Lannister,,,,,,,,,,,,,,,,,,,,,,
who plays the queen in victoria and abdul,Judi Dench,,,,,,,,,,,,,,,,,,,,,,
where does the grapes of wrath take place,Oklahoma,California,,,,,,,,,,,,,,,,,,,,,
when is last time the astros won the world series,2017,,,,,,,,,,,,,,,,,,,,,,
when did drop it like it's hot release,"September 12, 2004",,,,,,,,,,,,,,,,,,,,,,
when was south african youth day first celebrated,1976,June 16,,,,,,,,,,,,,,,,,,,,,
china in chinese is called zhongguo which means,Central States,,,,,,,,,,,,,,,,,,,,,,
how many counties does the state of georgia have,159,159 counties,,,,,,,,,,,,,,,,,,,,,
what is mercy mercy me by marvin gaye about,sorrow regarding the environment,the environment,,,,,,,,,,,,,,,,,,,,,
what is the name of the compound p4010,Phosphorus pentoxide,,,,,,,,,,,,,,,,,,,,,,
what does the msc in msc cruises stand for,Mediterranean Shipping Company S.A.,Mediterranean Shipping Company,,,,,,,,,,,,,,,,,,,,,
who played joey's agent estelle on friends,June Gable,,,,,,,,,,,,,,,,,,,,,,
who is the sixth president of the united states,John Quincy Adams,,,,,,,,,,,,,,,,,,,,,,
who won the food network star in 2016,Tregaye Fraser,,,,,,,,,,,,,,,,,,,,,,
what kind of bird is in the lion king,red-billed hornbill,a red-billed hornbill,,,,,,,,,,,,,,,,,,,,,
who were the judges on dancing on ice 2014,Jason Gardiner,Ashley Roberts,Robin Cousins,Karen Barber,,,,,,,,,,,,,,,,,,,
