index,query,ExclamationMark,QuestionMark,countWords,countChars,how,when,where,what,whose,which,why,who,count am-is-are,count stop words,PERSON,ORG,GPE,DATE,count music common,count weather common,count get common,count send common,VRB,ADJ,NON,common_t_g,common_s_p_m_t,output
566,Ask Rick if the roads are clear near his house.,0,0,10,47,0,0,0,0,0,0,0,0,1,4,1,0,0,0,0,0,0,0,1,1,4,0,0,SEND_MESSAGE
567,where is the tibia and fibula bone located,0,0,8,42,0,0,1,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,2,0,3,0,0,SEARCH
568,"Message Susan, that the baseball game is Wednesday at 5:00.",0,0,10,59,0,0,0,0,0,0,0,0,1,4,1,0,0,1,0,0,0,0,2,0,5,0,1,SEND_MESSAGE
569,can you go to chat requests please,0,0,7,34,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,3,0,1,0,0,GET_MESSAGE
570,Could you make a video message for my Mom?,0,1,9,42,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,3,0,1,SEND_MESSAGE
571,what s the weather in germantown hills,0,0,7,38,0,0,0,1,0,0,0,0,1,4,0,0,1,0,0,1,0,0,1,1,2,0,0,GetWeather
572,songs on 4 your eyez only j cole,0,0,8,32,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,1,1,3,0,0,SEARCH
573,play a symphony that is good from 2000,0,0,8,38,0,0,0,0,0,0,0,0,1,4,0,0,0,1,1,0,0,0,2,1,1,0,0,PlayMusic
574,describe the various uses of forests to human beings,0,0,9,52,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,2,3,0,0,SEARCH
575,Ask Chad if he is going to the Colts home opener,0,0,11,48,0,0,0,0,0,0,0,0,1,5,1,0,0,0,0,0,0,0,2,0,5,1,1,SEND_MESSAGE
576,who sang how long has this been going on song,0,0,10,45,1,0,0,0,0,0,0,1,0,6,0,0,0,0,1,0,0,0,4,1,1,1,1,SEARCH
577,play soem nineties charles thompson,0,0,5,35,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,4,0,0,PlayMusic
578,can you tell me the weather forecast for denmark,0,0,9,48,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,2,0,0,1,0,3,1,1,GetWeather
579,play a 1974 sound track on vimeo,0,0,7,32,0,0,0,0,0,0,0,0,0,2,0,1,0,1,2,0,0,0,1,0,3,0,0,PlayMusic
580,Send a message to Chris asking if he has heard the latest Metallica album yet,0,0,15,77,0,0,0,0,0,0,0,0,0,6,1,0,0,0,1,0,0,1,4,2,4,0,1,SEND_MESSAGE
581,what will it be like in the current place at midnight,0,0,11,53,0,0,0,1,0,0,0,0,0,7,0,0,0,0,0,2,0,0,1,1,2,0,0,GetWeather
582,Message Ted and tell him Riley got all A's on his report card.,0,0,13,62,0,0,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,2,0,6,1,2,SEND_MESSAGE
583,where does the spinal cord become cauda equina,0,0,8,46,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,2,2,0,0,SEARCH
584,Message my school friends to ask when our next reunion will be.,0,0,12,63,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,2,1,4,0,1,SEND_MESSAGE
585,go ahead with reading this message,0,0,6,34,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,1,1,0,1,GET_MESSAGE
586,Could you message Tom to see where he'll be next week?,0,1,11,54,0,0,1,0,0,0,0,0,0,4,1,0,0,1,0,0,0,0,3,1,3,0,2,SEND_MESSAGE
587,will there be a blizzard in kettleman city today,0,0,9,48,0,0,0,0,0,0,0,0,0,5,0,0,1,1,0,0,1,0,1,2,3,0,0,GetWeather
588,Play any missed Skype video messages.,0,0,6,37,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,3,0,1,GET_MESSAGE
589,what s the temperature today in griffin ne,0,0,8,42,0,0,0,1,0,0,0,0,1,4,0,0,1,1,0,0,1,0,1,0,4,0,0,GetWeather
590,which of the characters in the open boat dies,0,0,9,45,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,1,0,0,1,3,0,0,SEARCH
591,play richard thompson from the thirties song book,0,0,8,49,0,0,0,0,0,0,0,0,0,2,1,0,0,1,2,0,0,0,2,0,4,0,0,PlayMusic
592,will it be overcast in seventeen minutes in the united arab emirates,0,0,12,68,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0,0,0,2,2,3,0,0,GetWeather
593,Send a message to Catey and tell her I will probably be 10 minutes early.,0,0,15,73,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,3,2,3,1,2,SEND_MESSAGE
594,what s the weather forecast near to fern creek this winter,0,0,11,58,0,0,0,1,0,0,0,0,1,5,0,0,1,1,0,2,0,0,2,0,4,0,0,GetWeather
595,i want to listen to an album sorted by last open google music and play paulinho da viola,0,0,18,88,0,0,0,0,0,0,0,0,0,6,1,0,0,0,5,0,1,0,4,2,7,0,0,PlayMusic
596,calpurnia son name in to kill a mockingbird,0,0,8,43,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,4,0,0,SEARCH
597,who plays timon in lion king on broadway,0,0,8,40,0,0,0,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,1,0,4,0,0,SEARCH
598,which episode does gideon die in criminal minds,0,0,8,47,0,0,0,0,0,1,0,0,0,3,1,0,0,0,0,0,0,0,3,1,2,0,0,SEARCH
599,the headquarters of the international union for conversation of nature is at,0,0,12,76,0,0,0,0,0,0,0,0,1,7,0,1,0,0,0,0,0,0,1,1,4,0,0,SEARCH
600,Do I have any texts from the family group?,0,1,9,42,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,3,0,0,GET_MESSAGE
601,play barbra streisand music from 1997,0,0,6,37,0,0,0,0,0,0,0,0,0,1,1,0,0,1,2,0,0,0,1,0,3,0,0,PlayMusic
602,Have I received any new chats on messenger?,0,1,8,43,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,2,1,2,0,0,GET_MESSAGE
603,who sings the christmas song mary did you know,0,0,9,46,0,0,0,0,0,0,0,1,0,4,0,0,0,1,1,0,0,1,3,0,3,0,0,SEARCH
604,tell me when it ll be sunny in ralls marshall islands,0,0,11,53,0,1,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,4,1,2,1,1,GetWeather
605,when do willow and tara get back together,0,0,8,41,0,1,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,4,2,0,0,0,SEARCH
606,who played ernest t on the andy griffith show,0,0,9,45,1,0,0,0,0,0,0,1,0,4,1,0,0,0,0,0,1,0,1,1,4,0,0,SEARCH
607,is it cold in brian head,0,0,6,24,0,0,0,0,0,0,0,0,1,3,1,0,0,0,0,1,0,0,1,2,1,0,0,GetWeather
608,who played the elephant man in the film,0,0,8,39,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,1,1,2,0,0,SEARCH
609,play that new song from 1970,0,0,6,28,0,0,0,0,0,0,0,0,0,2,0,0,0,1,2,0,1,0,0,1,2,0,0,PlayMusic
610,what is the weather forecast for sunset in bouvet island,0,0,10,56,0,0,0,1,0,0,0,0,1,5,0,0,1,0,0,3,0,0,1,0,5,0,0,GetWeather
611,is there a depression in delta junction,0,0,7,39,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,1,1,2,0,0,GetWeather
612,where does this season's survivor take place,0,0,7,44,0,0,1,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,2,0,3,0,0,SEARCH
613,what type of joint connects the incus with the malleus,0,0,10,54,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,4,0,0,SEARCH
614,tell me if it will hail in elliotts bluff at five o clock,0,0,13,57,0,0,0,0,0,0,0,0,0,7,0,0,1,0,0,0,0,0,2,1,3,1,1,GetWeather
615,Display messages from the gaming group chat.,0,0,7,44,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,1,0,4,0,1,GET_MESSAGE
616,play the playlist spring,0,0,4,24,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,1,0,2,0,0,PlayMusic
617,play some music from the twenties,0,0,6,33,0,0,0,0,0,0,0,0,0,3,0,0,0,1,2,0,0,0,1,0,2,0,0,PlayMusic
618,who was the moderator of the 2004 presidential debate held at arizona state university,0,0,14,86,0,0,0,0,0,0,0,1,0,6,0,0,1,1,0,1,0,0,2,2,4,0,0,SEARCH
619,play music from the album evolution of a man by joey ramone,0,0,12,59,0,0,0,0,0,0,0,0,0,5,1,0,0,0,3,0,0,0,0,1,6,0,0,PlayMusic
620,who played jason in the friday the 13th series,0,0,9,46,0,0,0,0,0,0,0,1,0,4,1,0,0,1,0,0,0,0,1,1,3,0,0,SEARCH
621,Message Bailey to see if she has my homework.,0,0,9,45,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,2,0,3,0,2,SEND_MESSAGE
622,Message all my closest friends that I'm available.,0,0,8,50,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,2,2,0,1,SEND_MESSAGE
623,Message Sue to see if her husband got tickets to the Giants game for Thursday night.,0,0,16,84,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,2,0,8,0,2,SEND_MESSAGE
624,play easy listening,0,0,3,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,PlayMusic
625,what is the system of government in japan,0,0,8,41,0,0,0,1,0,0,0,0,1,5,0,0,1,0,0,0,0,0,1,0,3,0,0,SEARCH
626,what is the forecast for harrison–crawford state forest,0,0,8,55,0,0,0,1,0,0,0,0,1,4,0,1,0,0,0,2,0,0,1,0,4,0,0,GetWeather
627,Send a text to Gladys and ask how her hand is doing.,0,0,12,52,1,0,0,0,0,0,0,0,1,6,1,0,0,0,0,0,0,1,4,0,3,0,0,SEND_MESSAGE
628,My sister needs to know that he brother has passed away lastnight,0,0,12,65,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,5,2,1,0,0,SEND_MESSAGE
629,what will the weather be like tonight at greenfoot quarry,0,0,10,57,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,2,0,1,1,0,4,0,0,GetWeather
630,what s the weather forecast for spain,0,0,7,37,0,0,0,1,0,0,0,0,1,4,0,0,1,0,0,2,0,0,1,0,3,0,0,GetWeather
631,use deezer service to play opera,0,0,6,32,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,1,0,4,0,0,PlayMusic
632,play hughie graham by vidyadhar vyas,0,0,6,36,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,5,0,0,PlayMusic
633,tell me the weather forecast one second from now in barnum island,0,0,12,65,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,2,1,4,1,1,GetWeather
634,what is the most uneducated state in america,0,0,8,44,0,0,0,1,0,0,0,0,1,5,0,0,1,0,0,1,0,0,1,2,2,0,0,SEARCH
635,is there a cloud in the sky in thornville on feb fifth,0,0,12,54,0,0,0,0,0,0,0,0,1,7,0,0,1,1,0,0,0,0,1,0,5,0,0,GetWeather
636,Pull up the previous thread from the English class.,0,0,9,51,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,1,2,2,0,0,GET_MESSAGE
637,when's the last time the saints went to the super bowl,0,0,11,54,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,2,1,4,0,0,SEARCH
638,Ask Sally what time is registration for the MS Walk,0,0,10,51,0,0,0,1,0,0,0,0,1,4,1,0,0,0,0,0,0,1,1,0,6,0,0,SEND_MESSAGE
639,who was elected president in mexico in 2000,0,0,8,43,0,0,0,0,0,0,0,1,0,4,0,0,1,1,0,0,0,0,2,0,2,0,0,SEARCH
640,what was the final episode of quantum leap,0,0,8,42,0,0,0,1,0,0,0,0,0,4,0,1,0,0,0,0,0,0,1,1,3,0,0,SEARCH
641,Tell Maria to meet me and Amethyst at the Starbucks closest to campus.,0,0,13,70,0,0,0,0,0,0,0,0,0,6,2,1,0,0,0,0,0,1,2,1,4,1,1,SEND_MESSAGE
642,which console to get red dead redemption 2,0,0,8,42,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,1,2,2,0,0,SEARCH
643,Tell Kobe to be at the race no later than 5.,0,0,11,44,0,0,0,0,0,0,0,0,0,6,1,0,0,1,0,0,0,0,1,2,3,1,1,SEND_MESSAGE
644,Ask Phil in a message what time to meet him at the met gala may 3rd,0,0,16,67,0,0,0,1,0,0,0,0,0,7,1,0,0,1,0,0,0,2,2,0,5,0,1,SEND_MESSAGE
645,where are the winter olympic games being played,0,0,8,47,0,0,1,0,0,0,0,0,1,4,0,0,0,1,0,0,0,0,3,0,3,0,0,SEARCH
646,who plays nikko in the wizard of oz,0,0,8,35,0,0,0,0,0,0,0,1,0,4,0,2,0,0,0,0,0,0,1,1,2,0,0,SEARCH
647,MESSAGE KIM AND TELL HER I SHOULD ARRIVE BY 5 P.M. TO HER HOME.,0,0,14,63,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,12,1,2,SEND_MESSAGE
648,play a martyn bennett from 1957 on pandora,0,0,8,42,0,0,0,0,0,0,0,0,0,3,1,0,0,1,1,0,0,0,1,0,3,0,0,PlayMusic
649,when did disney art of animation resort open,0,0,8,44,0,1,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,2,1,3,0,0,SEARCH
650,play music from 1960,0,0,4,20,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,2,0,0,PlayMusic
651,Message Tim that the meeting starts at 8 am tomorrow; not 8:30 am.,0,0,13,66,0,0,0,0,0,0,0,0,1,5,1,0,0,1,0,0,0,0,3,1,4,0,1,SEND_MESSAGE
652,is there snowfall in zec mitchinamecus at 13,0,0,8,44,0,0,0,0,0,0,0,0,1,4,1,0,0,0,0,0,0,0,1,0,3,0,0,GetWeather
653,Send David a message to pick up milk on the way home.,0,0,12,53,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,6,0,1,SEND_MESSAGE
654,who played the first phantom of the opera,0,0,8,41,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,1,1,2,0,0,SEARCH
655,tell stacy dinner reservations are set,0,0,6,38,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,3,0,3,1,1,SEND_MESSAGE
656,is there a depression in solromar on december 7 2033,0,0,10,52,0,0,0,0,0,0,0,0,1,5,1,0,0,1,0,0,0,0,1,0,3,0,0,GetWeather
657,play something by daisy voisin on google music,0,0,8,46,0,0,0,0,0,0,0,0,0,2,1,1,0,0,3,0,0,0,0,1,5,0,0,PlayMusic
658,the official u.s. poverty line is based on the cost of what,0,0,12,59,0,0,0,1,0,0,0,0,1,6,0,0,1,0,0,0,0,0,2,2,3,0,0,SEARCH
659,Message Julie asking if she has my black shoes.,0,0,9,47,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,1,2,1,3,0,1,SEND_MESSAGE
660,Send it to Katie.,0,0,4,17,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,1,0,0,SEND_MESSAGE
661,Message Rick and ask what time will he arrive tomorrow morning.,0,0,11,63,0,0,0,1,0,0,0,0,0,4,1,0,0,1,0,0,0,3,2,0,5,0,1,SEND_MESSAGE
662,who won the oscar over wolf of wall street,0,0,9,42,0,0,0,0,0,0,0,1,0,5,2,0,0,0,0,0,0,0,1,0,4,0,0,SEARCH
663,when was the last time the detroit tigers went to the world series,0,0,13,66,0,1,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,1,2,1,5,0,0,SEARCH
664,who won the 6th season of dancing with the stars,0,0,10,48,0,0,0,0,0,0,0,1,0,6,0,0,0,1,0,0,0,0,2,0,2,0,0,SEARCH
665,will it be cloudy in tatamy,0,0,6,27,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,2,0,1,0,0,GetWeather
666,who are the only 2 families that have had 3 generations of oscar winners,0,0,14,72,0,0,0,0,0,0,0,1,1,8,1,0,0,0,0,0,0,0,3,1,4,0,0,SEARCH
667,list to the most popular muireann nic amhlaoibh song,0,0,9,52,0,0,0,0,0,0,0,0,0,3,1,0,0,0,1,0,0,0,0,3,4,0,0,PlayMusic
668,how warm is it in darnestown,0,0,6,28,1,0,0,0,0,0,0,0,1,4,0,1,0,0,0,1,0,0,1,1,1,0,0,GetWeather
669,how long is a prime minister term in uk,0,0,9,39,1,0,0,0,0,0,0,0,1,4,0,0,1,0,0,0,0,0,1,3,2,0,0,SEARCH
670,what s the weather in meherrin,0,0,6,30,0,0,0,1,0,0,0,0,1,4,0,0,0,0,0,1,0,0,1,0,2,0,0,GetWeather
671,what s the forecast for jefferson national expansion memorial around eight am,0,0,12,77,0,0,0,1,0,0,0,0,2,5,0,1,0,0,0,2,0,0,2,2,3,0,0,GetWeather
672,Read all my unread messages.,0,0,5,28,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,1,0,1,GET_MESSAGE
673,where is the food stored in a yam plant,0,0,9,39,0,0,1,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,2,0,3,0,0,SEARCH
674,Send a message to Heidi to be at The Coffee Bean on 4th no later than 3:30,0,0,17,74,0,0,0,0,0,0,0,0,0,8,1,0,0,1,0,0,0,0,2,2,4,0,1,SEND_MESSAGE
675,weather for jun ninth 2033 in san pierre romania,0,0,9,48,0,0,0,0,0,0,0,0,0,2,0,0,2,1,0,1,0,0,0,2,4,0,0,GetWeather
676,Message Maria to reserve two seats at the September social at Ditto Landing.,0,0,13,76,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,1,1,6,0,1,SEND_MESSAGE
677,Message Nita and Vernon and thank them for dinner.,0,0,9,50,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,1,0,4,0,1,SEND_MESSAGE
678,play music from youtube,0,0,4,23,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3,0,0,0,0,0,3,0,0,PlayMusic
679,i want my chats,0,0,4,15,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,2,0,0,GET_MESSAGE
680,where did they film the show the crossing,0,0,8,41,1,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,1,0,3,0,0,SEARCH
681,is it warm in albania at noon,0,0,7,29,0,0,0,0,0,0,0,0,1,4,0,0,1,0,0,1,0,0,1,1,2,0,0,GetWeather
682,who played mr. kincaid on the partridge family,0,0,8,46,0,0,0,0,0,0,0,1,0,3,2,0,0,0,0,0,0,0,2,0,3,0,0,SEARCH
683,Read messages from Facebook Live.,0,0,5,33,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3,0,1,GET_MESSAGE
684,what is the weather like in texas,0,0,7,33,0,0,0,1,0,0,0,0,1,4,0,0,1,0,0,2,0,0,1,0,2,0,0,GetWeather
685,Replay the latest message from Billy now.,0,0,7,41,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,2,2,0,1,GET_MESSAGE
686,Send a message to my sisters to let them know that we should meet in New York next Saturday,0,0,19,91,0,0,0,0,0,0,0,0,0,9,0,0,1,1,0,0,0,3,4,1,5,0,1,SEND_MESSAGE
687,when is the movie a star is born released on dvd,0,0,11,48,0,1,0,0,0,0,0,0,2,6,0,0,0,0,0,0,0,0,4,0,3,0,0,SEARCH
688,ask dad if the door is open,0,0,7,27,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,1,1,2,1,2,0,0,SEND_MESSAGE
689,Message Ben and ask if he is seen my wallet.,0,0,10,44,0,0,0,0,0,0,0,0,1,5,1,0,0,0,0,0,0,1,3,0,3,0,2,SEND_MESSAGE
690,the most recent technological change to the u.s. economy was,0,0,10,60,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,1,4,2,0,0,SEARCH
691,Message my aunt and tell her that I'll bring a pie to her BET viewing party,0,0,16,75,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,1,2,0,6,1,2,SEND_MESSAGE
692,who does tony end up with on skins,0,0,8,34,0,0,0,0,0,0,0,1,0,5,1,0,0,0,0,0,0,0,2,1,1,0,0,SEARCH
693,play the newest released song from 1951,0,0,7,39,0,0,0,0,0,0,0,0,0,2,0,0,0,1,2,0,0,0,2,1,1,0,0,PlayMusic
694,is it colder in paraguay this morning,0,0,7,37,0,0,0,0,0,0,0,0,1,4,0,0,1,0,0,1,0,0,1,0,3,0,0,GetWeather
695,Send a message to Brady asking him to share his current location with me.,0,0,14,73,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,1,0,1,2,1,4,0,1,SEND_MESSAGE
696,i want to hear eighties music by noko on deezer,0,0,10,47,0,0,0,0,0,0,0,0,0,4,1,0,0,0,3,0,0,0,2,0,5,0,0,PlayMusic
697,what s the weather going to be like near sawtooth national recreation area at 2 pm,0,0,16,82,0,0,0,1,0,0,0,0,1,6,0,0,0,0,0,5,0,0,3,2,4,1,1,GetWeather
698,life is strnage 2 episode 2 release date,0,0,8,40,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,4,0,0,SEARCH
699,where did the french establish their fur trade colonies,0,0,9,55,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,2,2,0,0,SEARCH
700,play music from negerpunk,0,0,4,25,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,3,0,0,PlayMusic
701,I wanna see texts from the family chat.,0,0,8,39,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,1,2,0,1,GET_MESSAGE
702,which allied country controlled each of the four zones of germany after world war ii,0,0,15,84,0,0,0,0,0,1,0,0,0,6,0,1,1,0,0,0,0,0,2,0,6,0,0,SEARCH
703,how many players in football hall of fame,0,0,8,41,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,4,0,0,SEARCH
704,Message Liz and ask if she's going to the library tomorrow.,0,0,11,59,0,0,0,0,0,0,0,0,0,5,1,0,0,1,0,0,0,1,3,1,3,1,2,SEND_MESSAGE
705,where is the tablet of the ten commandments,0,0,8,43,0,0,1,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,1,0,3,0,0,SEARCH
706,who is the dog in guardians of the galaxy,0,0,9,41,0,0,0,0,0,0,0,1,1,6,0,0,0,0,0,0,0,0,1,0,3,0,0,SEARCH
707,play clifford brown all stars by michael balzary,0,0,8,48,0,0,0,0,0,0,0,0,0,2,2,0,0,0,1,0,0,0,0,0,5,0,0,PlayMusic
708,weather for knierim kansas in twelve weeks and a half from now,0,0,12,62,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,1,0,0,0,3,4,0,0,GetWeather
709,what is the predicted weather on mar 27 for farragut state park,0,0,12,63,0,0,0,1,0,0,0,0,1,5,0,0,0,1,0,3,0,0,1,1,5,0,0,GetWeather
710,send a message to my sister Suzanne and tell her the Jones are coming on Friday,0,0,16,79,0,0,0,0,0,0,0,0,1,8,2,0,0,1,0,0,0,1,4,0,5,1,2,SEND_MESSAGE
711,Who sent me a video last week?,0,1,7,30,0,0,0,0,0,0,0,1,0,2,0,0,0,1,0,0,1,0,1,1,2,0,0,GET_MESSAGE
712,who were the five colonists killed in the boston massacre,0,0,10,57,0,0,0,0,0,0,0,1,0,5,0,0,1,0,0,0,0,0,2,0,3,0,0,SEARCH
713,who is invented the stock ticker in 1867,0,0,8,40,0,0,0,0,0,0,0,1,1,4,0,0,0,1,0,0,0,0,2,0,2,0,0,SEARCH
714,check chat requests,0,0,3,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,GET_MESSAGE
715,Send a note to Jordan asking if she can add 3-4 vegan menu items to the potluck dinner on June 28th.,0,0,21,100,0,0,0,0,0,0,0,0,0,8,1,0,0,1,0,0,0,2,3,2,7,0,0,SEND_MESSAGE
716,Message Tim asking if he has found my wallet at his house,0,0,12,57,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,2,3,0,4,0,1,SEND_MESSAGE
717,where is season 5 of prison break filmed,0,0,8,40,0,0,1,0,0,0,0,0,1,3,0,0,0,1,0,0,0,0,2,0,3,0,0,SEARCH
718,Show messages from Vincent,0,0,4,26,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3,0,1,GET_MESSAGE
719,what's the difference between salisbury steak and hamburger steak,0,0,9,65,0,0,0,1,0,0,0,0,0,3,0,0,1,0,0,0,0,0,1,0,5,0,0,SEARCH
720,can i hear a tune from vladimir vysotski,0,0,8,40,0,0,0,0,0,0,0,0,0,4,1,0,0,0,2,0,0,0,2,0,3,0,0,PlayMusic
721,striking the funny bone is actually compression of the,0,0,9,54,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,2,2,2,0,0,SEARCH
722,what s the weather forecast for spain,0,0,7,37,0,0,0,1,0,0,0,0,1,4,0,0,1,0,0,2,0,0,1,0,3,0,0,GetWeather
723,can you play some music from my road trip album,0,0,10,47,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,0,0,0,1,0,4,0,0,PlayMusic
724,how many games in a row have the uconn women's basketball team won,0,0,13,66,1,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0,0,0,2,2,5,0,0,SEARCH
725,can you play me some eighties music by adele,0,0,9,44,0,0,0,0,0,0,0,0,0,5,1,0,0,0,2,0,0,0,1,0,3,0,0,PlayMusic
726,play a melody from the nineties on google music,0,0,9,47,0,0,0,0,0,0,0,0,0,4,0,1,0,1,3,0,0,0,1,0,4,0,0,PlayMusic
727,Show me todays unread messages.,0,0,5,31,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,1,0,1,GET_MESSAGE
728,can you play a top 5 song by manos hadjidakis,0,0,10,45,0,0,0,0,0,0,0,0,0,4,1,0,0,0,3,0,0,0,1,1,3,0,0,PlayMusic
729,when does walking dead season 8 second half start,0,0,9,49,0,1,0,0,0,0,0,0,0,2,0,0,0,1,0,1,0,1,3,2,2,0,0,SEARCH
730,play the newest ballad from chad urmston,0,0,7,40,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,2,1,2,0,0,PlayMusic
731,what is the forecast for here at 8 am,0,0,9,37,0,0,0,1,0,0,0,0,2,7,0,0,0,0,0,1,0,0,2,1,1,0,0,GetWeather
732,how will be the weather condition near mi 129 days and a half from now,0,0,15,70,1,0,0,0,0,0,0,0,0,8,0,0,1,1,0,1,0,0,1,1,4,0,0,GetWeather
733,what is the weather forecast now in texas,0,0,8,41,0,0,0,1,0,0,0,0,1,5,0,0,1,0,0,2,0,0,1,1,3,0,0,GetWeather
734,will it be stormy on 4/3/2027 in new rochelle wy,0,0,10,48,0,0,0,0,0,0,0,0,0,5,0,0,2,0,0,0,1,0,2,1,2,0,0,GetWeather
735,where in the bible are the 12 disciples,0,0,8,39,0,0,1,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,1,0,2,0,0,SEARCH
736,the type of display that google glass presents to its users is called what,0,0,14,74,0,0,0,1,0,0,0,0,1,7,0,0,0,0,1,0,1,0,3,0,5,0,0,SEARCH
737,play sergei anatoljewitsch kurjochin s music on groove shark,0,0,9,60,0,0,0,0,0,0,0,0,1,2,1,0,0,0,4,0,0,0,0,1,6,0,0,PlayMusic
738,Please send Joan a message that I miss her terribly.,0,0,10,52,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,1,2,0,4,0,1,SEND_MESSAGE
